state	min	max	mean	rates	root	lnL	lnL.p	lnL.h
100	0.101	49.792	1.746	5	NA	-111.53	0.00	-0.69
200	0.069	49.792	1.015	6	NA	-107.48	0.00	-1.72
300	0.069	49.792	1.747	6	NA	-110.86	0.00	-0.69
400	0.108	49.792	1.015	5	NA	-107.75	0.00	-0.17
500	0.108	49.792	0.950	5	NA	-106.73	0.00	-2.66
600	0.108	49.792	0.950	5	NA	-106.73	-1.98	-3.27
700	0.108	49.792	0.950	5	NA	-106.73	0.00	-0.31
800	0.108	49.792	1.015	5	NA	-107.75	0.00	-0.50
900	0.141	49.792	0.950	4	NA	-109.29	1.75	3.50
1000	0.091	49.792	0.950	5	NA	-103.67	0.00	-0.69
1100	0.054	49.792	1.121	6	NA	-101.86	0.00	-0.69
1200	0.054	49.792	1.116	6	NA	-102.11	0.00	-1.25
1300	0.054	49.792	1.116	6	NA	-102.11	0.00	-2.59
1400	0.033	49.792	1.116	7	NA	-100.16	-2.16	-3.08
1500	0.033	49.792	1.116	7	NA	-100.16	-2.31	-2.92
1600	0.054	49.792	1.121	6	NA	-101.82	0.00	-5.69
1700	0.070	49.792	1.131	6	NA	-101.71	-2.16	-3.08
1800	0.070	49.792	1.131	6	NA	-101.71	0.00	-2.27
1900	0.115	49.792	0.933	6	NA	-104.61	0.00	-0.69
2000	0.067	49.792	0.902	7	NA	-98.95	-2.31	-2.92
2100	0.067	49.792	0.917	7	NA	-99.28	0.00	-0.69
2200	0.072	49.792	0.918	6	NA	-105.62	0.00	-1.84
2300	0.072	49.792	0.958	6	NA	-107.87	0.00	-3.44
2400	0.072	49.792	0.895	6	NA	-108.13	-2.16	-3.08
2500	0.070	49.792	0.969	6	NA	-109.29	-2.16	-3.08
2600	0.070	49.792	0.893	6	NA	-108.42	0.00	-0.14
2700	0.073	49.792	0.969	5	NA	-109.10	0.00	0.00
2800	0.073	49.792	0.893	5	NA	-105.80	0.00	0.00
2900	0.083	49.792	0.893	4	NA	-106.64	0.00	0.00
3000	0.094	49.792	0.904	4	NA	-106.53	-1.75	-3.50
3100	0.094	49.792	0.904	4	NA	-106.53	0.00	-2.97
3200	0.094	49.792	0.904	4	NA	-106.53	0.00	-0.69
3300	0.094	49.329	0.901	4	NA	-106.53	-1.75	-3.50
3400	0.094	49.329	0.901	4	NA	-106.53	0.00	-0.69
3500	0.094	49.329	0.901	4	NA	-106.53	-1.75	-3.50
3600	0.094	49.329	0.901	4	NA	-106.53	-1.75	-3.50
3700	0.094	49.329	0.901	4	NA	-106.53	-1.75	-3.50
3800	0.094	49.329	0.901	4	NA	-106.53	0.00	-1.22
3900	0.094	49.329	0.901	4	NA	-106.53	0.00	0.00
4000	0.094	49.329	0.901	4	NA	-106.53	0.00	0.00
4100	0.051	49.329	0.895	5	NA	-102.26	-1.98	-3.27
4200	0.088	49.329	0.895	4	NA	-106.52	0.00	0.00
4300	0.088	49.329	0.895	4	NA	-106.52	0.00	0.69
4400	0.088	49.329	1.619	4	NA	-109.79	0.00	-1.48
4500	0.088	49.329	0.895	4	NA	-106.52	0.00	-0.05
4600	0.110	49.329	1.640	4	NA	-110.27	0.00	-2.69
4700	0.110	48.998	0.914	4	NA	-107.10	-1.75	-3.50
4800	0.110	48.998	0.914	4	NA	-107.10	0.00	-1.50
4900	0.110	48.998	0.914	4	NA	-107.00	0.00	-0.69
5000	0.110	48.998	1.251	4	NA	-109.52	0.00	-0.69
5100	0.110	48.998	0.913	4	NA	-107.00	0.00	0.00
5200	0.110	48.998	0.913	4	NA	-107.00	0.00	-3.18
5300	0.110	48.998	0.913	4	NA	-107.00	-1.75	-3.50
5400	0.110	48.998	0.913	4	NA	-107.00	0.00	0.00
5500	0.110	48.998	0.913	4	NA	-107.00	-1.75	-3.50
5600	0.110	48.998	0.913	4	NA	-107.00	0.00	-1.17
5700	0.110	48.998	0.913	4	NA	-107.00	-1.75	-3.50
5800	0.110	48.644	0.910	4	NA	-107.00	0.00	-0.01
5900	0.108	48.644	0.908	4	NA	-106.86	0.00	-0.55
6000	0.101	48.644	0.901	4	NA	-106.59	0.00	-0.21
6100	0.026	48.644	1.236	5	NA	-104.15	0.00	-1.84
6200	0.026	48.644	0.895	5	NA	-101.55	0.00	-0.95
6300	0.026	48.644	0.899	5	NA	-103.04	0.00	-0.69
6400	0.026	48.644	0.895	5	NA	-101.55	0.00	-0.01
6500	0.026	48.644	1.609	5	NA	-104.72	0.00	-0.28
6600	0.026	48.644	0.895	5	NA	-101.55	0.00	0.00
6700	0.026	48.644	0.895	5	NA	-101.55	0.00	0.00
6800	0.026	48.644	0.895	5	NA	-101.55	-1.98	-3.27
6900	0.026	48.644	0.895	5	NA	-101.55	0.00	-0.51
7000	0.026	48.644	0.895	6	NA	-96.75	0.00	-0.06
7100	0.026	48.644	0.895	5	NA	-101.55	0.00	-0.10
7200	0.026	48.644	0.895	5	NA	-101.55	0.00	-0.96
7300	0.026	48.644	0.895	5	NA	-101.55	0.00	0.00
7400	0.026	48.644	0.895	5	NA	-101.55	0.00	-1.71
7500	0.043	48.644	0.898	5	NA	-103.20	-1.98	-3.27
7600	0.043	48.644	0.895	5	NA	-104.76	-1.98	-3.27
7700	0.043	48.644	1.204	5	NA	-105.14	-1.98	-3.27
7800	0.043	48.644	0.895	5	NA	-104.76	0.00	-0.69
7900	0.043	48.644	0.869	5	NA	-102.20	0.00	-0.94
8000	0.043	48.644	0.871	5	NA	-102.76	0.00	-1.30
8100	0.043	48.644	0.898	5	NA	-103.20	0.00	0.00
8200	0.043	48.644	0.903	5	NA	-105.36	-1.98	-3.27
8300	0.043	48.644	0.905	5	NA	-106.12	-1.98	-3.27
8400	0.043	48.644	0.903	5	NA	-105.36	0.00	-0.18
8500	0.043	48.644	0.906	5	NA	-106.60	0.00	0.69
8600	0.043	48.644	0.905	5	NA	-106.18	0.00	0.69
8700	0.056	48.644	0.900	5	NA	-104.14	0.00	0.00
8800	0.056	48.644	0.900	5	NA	-104.14	-1.98	-3.27
8900	0.050	48.644	0.900	6	NA	-101.24	-2.16	-3.08
9000	0.018	48.644	0.900	6	NA	-99.92	-2.16	-3.08
9100	0.018	48.644	0.905	6	NA	-100.96	0.00	0.69
9200	0.018	48.644	1.620	5	NA	-103.99	-1.98	-3.27
9300	0.018	48.644	0.907	5	NA	-100.88	0.00	-0.69
9400	0.055	48.644	0.907	5	NA	-101.16	0.00	-0.68
9500	0.055	48.644	0.907	5	NA	-101.16	0.00	0.00
9600	0.055	48.644	0.907	5	NA	-101.16	0.00	-0.42
9700	0.055	48.644	0.907	5	NA	-101.16	-1.98	-3.27
9800	0.055	48.644	0.907	5	NA	-101.16	-1.98	-3.27
9900	0.055	48.644	1.242	5	NA	-103.99	0.00	0.69
10000	0.055	48.644	0.907	5	NA	-101.16	0.00	-0.91
10100	0.055	48.644	1.621	5	NA	-104.57	0.00	-4.75
10200	0.055	48.644	0.907	5	NA	-101.16	0.00	0.00
10300	0.055	48.644	0.907	5	NA	-101.16	-1.98	-3.27
10400	0.055	48.644	0.907	5	NA	-101.16	-1.98	-3.27
10500	0.055	48.644	0.907	5	NA	-101.16	0.00	-1.04
10600	0.051	48.644	0.907	6	NA	-98.39	0.00	-0.69
10700	0.020	48.644	0.907	8	NA	-92.21	0.00	-1.00
10800	0.020	48.644	0.907	8	NA	-92.21	0.00	-0.69
10900	0.020	48.644	0.899	8	NA	-92.73	0.00	-0.69
11000	0.020	48.644	0.919	8	NA	-91.26	0.00	-0.69
11100	0.020	48.644	0.919	7	NA	-96.41	-2.31	-2.92
11200	0.020	48.644	0.919	7	NA	-96.41	-2.31	-2.92
11300	0.020	48.644	0.919	7	NA	-96.41	-2.31	-2.92
11400	0.020	48.644	0.942	7	NA	-97.79	0.00	-4.49
11500	0.020	48.644	0.942	7	NA	-97.79	-2.31	-2.92
11600	0.017	48.644	0.919	7	NA	-96.19	-2.31	-2.92
11700	0.017	48.644	0.919	7	NA	-96.19	-2.31	-2.92
11800	0.017	48.644	1.632	7	NA	-99.14	0.00	-0.43
11900	0.020	48.644	0.914	7	NA	-97.99	0.00	-0.69
12000	0.020	48.644	0.928	7	NA	-96.85	0.00	-1.02
12100	0.020	48.644	0.927	7	NA	-98.36	0.00	-0.70
12200	0.020	48.644	0.885	7	NA	-97.22	0.00	-0.37
12300	0.020	48.644	1.228	7	NA	-100.64	-2.31	-2.92
12400	0.020	48.644	0.918	8	NA	-93.88	-2.45	-2.78
12500	0.020	48.644	0.876	8	NA	-95.81	0.00	-0.69
12600	0.020	48.644	0.876	7	NA	-101.38	0.00	-0.68
12700	0.020	48.644	0.880	7	NA	-100.88	0.00	-0.69
12800	0.020	48.644	0.880	7	NA	-100.88	0.00	0.00
12900	0.020	48.644	0.909	7	NA	-101.37	-2.31	-2.92
13000	0.002	48.644	0.927	8	NA	-97.63	0.00	-0.69
13100	0.002	48.644	0.894	8	NA	-98.88	0.00	-1.10
13200	0.002	48.644	0.930	8	NA	-98.33	0.00	-0.70
13300	0.002	48.644	0.927	8	NA	-97.63	0.00	-0.00
13400	0.002	48.644	0.904	8	NA	-98.34	0.00	-0.69
13500	0.002	48.644	0.968	8	NA	-99.53	0.00	-0.26
13600	0.002	48.644	0.943	7	NA	-98.52	0.00	0.00
13700	0.045	48.644	0.924	6	NA	-100.56	0.00	-0.79
13800	0.096	48.644	1.259	5	NA	-105.85	-1.98	-3.27
13900	0.086	48.644	0.943	6	NA	-102.46	0.00	-0.87
14000	0.086	48.644	0.943	6	NA	-102.46	-2.16	-3.08
14100	0.086	48.644	0.943	6	NA	-102.50	0.00	-1.96
14200	0.106	48.644	0.958	6	NA	-104.31	-2.16	-3.08
14300	0.106	48.644	0.958	6	NA	-104.31	0.00	-0.69
14400	0.106	48.644	0.939	6	NA	-105.16	0.00	-2.63
14500	0.116	48.644	0.921	5	NA	-108.29	-1.98	-3.27
14600	0.045	48.644	0.904	6	NA	-103.90	-2.16	-3.08
14700	0.045	48.644	0.928	6	NA	-107.44	0.00	0.69
14800	0.045	48.644	0.925	6	NA	-106.10	-2.16	-3.08
14900	0.045	48.644	0.904	6	NA	-103.85	-2.16	-3.08
