state	min	max	mean	rates	root	lnL	lnL.p	lnL.h
100	0.101	49.792	1.746	5	NA	-111.53	0	-0.69
100	0.083	40.268	0.978	5	NA	-104.35	0	-4.05
200	0.069	49.792	1.015	6	NA	-107.48	0	-1.72
200	0.083	40.268	1	5	NA	-105.87	0	-0.26
300	0.069	49.792	1.747	6	NA	-110.86	0	-0.69
300	0.129	40.268	0.948	4	NA	-107.87	0	0
400	0.108	49.792	1.015	5	NA	-107.75	0	-0.17
400	0.129	40.268	0.948	4	NA	-107.87	0	-1.05
500	0.108	49.792	0.95	5	NA	-106.73	0	-2.66
500	0.129	40.268	0.948	4	NA	-107.87	0	-0.69
600	0.108	49.792	0.95	5	NA	-106.73	-1.98	-3.27
600	0.005	40.268	0.942	5	NA	-102.12	-1.98	-3.27
700	0.108	49.792	0.95	5	NA	-106.73	0	-0.31
700	0.005	40.268	0.954	5	NA	-103.64	-1.98	-3.27
800	0.108	49.792	1.015	5	NA	-107.75	0	-0.5
800	0.005	40.268	0.954	6	NA	-102.78	0	-0.18
900	0.141	49.792	0.95	4	NA	-109.29	1.75	3.5
900	0.072	40.268	0.923	5	NA	-107.79	0	-0.22
1000	0.091	49.792	0.95	5	NA	-103.67	0	-0.69
1000	0.093	40.268	0.943	5	NA	-107.07	0	-1.11
1100	0.054	49.792	1.121	6	NA	-101.86	0	-0.69
1100	0.093	40.268	1.481	5	NA	-109.64	-1.98	-3.27
1200	0.054	49.792	1.116	6	NA	-102.11	0	-1.25
1200	0.093	40.268	0.943	5	NA	-107	0	-0.69
1300	0.054	49.792	1.116	6	NA	-102.11	0	-2.59
1300	0.093	40.268	0.943	5	NA	-107	0	-0.11
1400	0.033	49.792	1.116	7	NA	-100.16	-2.16	-3.08
1400	0.052	40.268	0.921	6	NA	-102.88	0	-2.49
1500	0.033	49.792	1.116	7	NA	-100.16	-2.31	-2.92
1500	0.052	40.268	0.921	6	NA	-102.88	0	-0.69
1600	0.054	49.792	1.121	6	NA	-101.82	0	-5.69
1600	0.08	40.268	0.947	6	NA	-102.17	-2.16	-3.08
1700	0.07	49.792	1.131	6	NA	-101.71	-2.16	-3.08
1700	0.08	40.268	1.472	6	NA	-106.54	-2.16	-3.08
1800	0.07	49.792	1.131	6	NA	-101.71	0	-2.27
1800	0.08	40.268	0.941	6	NA	-103.25	0	0
1900	0.115	49.792	0.933	6	NA	-104.61	0	-0.69
1900	0.113	40.268	0.946	5	NA	-103.55	1.75	3.5
2000	0.067	49.792	0.902	7	NA	-98.95	-2.31	-2.92
2000	0.113	40.268	0.935	5	NA	-104.82	0	-0.05
2100	0.067	49.792	0.917	7	NA	-99.28	0	-0.69
2100	0.113	40.268	0.946	5	NA	-103.55	0	0
2200	0.072	49.792	0.918	6	NA	-105.62	0	-1.84
2200	0.113	40.268	0.935	5	NA	-104.82	-1.98	-3.27
2300	0.072	49.792	0.958	6	NA	-107.87	0	-3.44
2300	0.128	40.268	0.947	4	NA	-107.78	0	0
2400	0.072	49.792	0.895	6	NA	-108.13	-2.16	-3.08
2400	0.079	40.268	0.899	4	NA	-106.12	0	-0.74
2500	0.07	49.792	0.969	6	NA	-109.29	-2.16	-3.08
2500	0.079	40.268	1.41	4	NA	-108.87	-1.75	-3.5
2600	0.07	49.792	0.893	6	NA	-108.42	0	-0.14
2600	0.056	40.268	0.906	5	NA	-103.76	0	-0.59
2700	0.073	49.792	0.969	5	NA	-109.1	0	0
2700	0.043	40.268	0.899	6	NA	-99.83	-2.16	-3.08
2800	0.073	49.792	0.893	5	NA	-105.8	0	0
2800	0.012	40.268	0.902	6	NA	-99.9	0	-0.69
2900	0.083	49.792	0.893	4	NA	-106.64	0	0
2900	0.012	40.268	0.896	6	NA	-98.45	-2.16	-3.08
3000	0.094	49.792	0.904	4	NA	-106.53	-1.75	-3.5
3000	0.012	40.268	0.893	6	NA	-98.44	-2.16	-3.08
3100	0.094	49.792	0.904	4	NA	-106.53	0	-2.97
3100	0.012	40.268	0.894	6	NA	-98.52	0	0.69
3200	0.094	49.792	0.904	4	NA	-106.53	0	-0.69
3200	0.012	40.268	0.884	6	NA	-102.31	0	-0.11
3300	0.094	49.329	0.901	4	NA	-106.53	-1.75	-3.5
3300	0.012	40.676	0.889	5	NA	-106.47	0	0
3400	0.094	49.329	0.901	4	NA	-106.53	0	-0.69
3400	0.012	40.676	0.896	6	NA	-99.12	0	-0.27
3500	0.094	49.329	0.901	4	NA	-106.53	-1.75	-3.5
3500	0.045	35.838	1.334	5	NA	-104.84	0	-0.16
3600	0.094	49.329	0.901	4	NA	-106.53	-1.75	-3.5
3600	0.045	35.838	0.64	5	NA	-96.63	-1.98	-3.27
3700	0.094	49.329	0.901	4	NA	-106.53	-1.75	-3.5
3700	0.045	35.838	0.723	5	NA	-97.43	0	-0.04
3800	0.094	49.329	0.901	4	NA	-106.53	0	-1.22
3800	0.045	35.838	1.165	5	NA	-99.05	-1.98	-3.27
3900	0.094	49.329	0.901	4	NA	-106.53	0	0
3900	0.045	35.838	1.251	5	NA	-100.66	0	-1.13
4000	0.094	49.329	0.901	4	NA	-106.53	0	0
4000	0.045	35.838	1.168	5	NA	-99.86	0	-1.78
4100	0.051	49.329	0.895	5	NA	-102.26	-1.98	-3.27
4100	0.045	35.838	0.643	5	NA	-97.44	0	-0.28
4200	0.088	49.329	0.895	4	NA	-106.52	0	0
4200	0.045	35.838	0.64	5	NA	-96.63	0	-0.69
4300	0.088	49.329	0.895	4	NA	-106.52	0	0.69
4300	0.08	35.838	0.64	4	NA	-100.54	0	-0.69
4400	0.088	49.329	1.619	4	NA	-109.79	0	-1.48
4400	0.08	35.838	0.808	4	NA	-99.81	0	-0.18
4500	0.088	49.329	0.895	4	NA	-106.52	0	-0.05
4500	0.08	35.838	1.859	4	NA	-105.64	0	-0.01
4600	0.11	49.329	1.64	4	NA	-110.27	0	-2.69
4600	0.08	35.838	0.808	4	NA	-100.01	-1.75	-3.5
4700	0.11	48.998	0.914	4	NA	-107.1	-1.75	-3.5
4700	0.013	35.838	0.819	6	NA	-93.87	0	-3.26
4800	0.11	48.998	0.914	4	NA	-107.1	0	-1.5
4800	0.013	35.838	0.655	6	NA	-95.2	0	-0.69
4900	0.11	48.998	0.914	4	NA	-107	0	-0.69
4900	0.091	35.838	0.651	4	NA	-101.11	-1.75	-3.5
5000	0.11	48.998	1.251	4	NA	-109.52	0	-0.69
5000	0.091	35.838	0.735	4	NA	-101.59	0	-0.69
5100	0.11	48.998	0.913	4	NA	-107	0	0
5100	0.091	35.838	0.651	4	NA	-101.11	0	-0.64
5200	0.11	48.998	0.913	4	NA	-107	0	-3.18
5200	0.091	35.838	0.651	4	NA	-101.11	-1.75	-3.5
5300	0.11	48.998	0.913	4	NA	-107	-1.75	-3.5
5300	0.099	35.838	0.826	4	NA	-101.61	0	-0.69
5400	0.11	48.998	0.913	4	NA	-107	0	0
5400	0.063	35.838	0.792	4	NA	-99.65	-1.75	-3.5
5500	0.11	48.998	0.913	4	NA	-107	-1.75	-3.5
5500	0.063	35.838	0.708	4	NA	-101.46	0	-0.48
5600	0.11	48.998	0.913	4	NA	-107	0	-1.17
5600	0.069	35.838	0.798	4	NA	-99.59	-1.75	-3.5
5700	0.11	48.998	0.913	4	NA	-107	-1.75	-3.5
5700	0.069	35.838	0.63	4	NA	-100.95	-1.75	-3.5
5800	0.11	48.644	0.91	4	NA	-107	0	-0.01
5800	0.066	35.838	0.627	4	NA	-101.17	0	-0.69
5900	0.108	48.644	0.908	4	NA	-106.86	0	-0.55
5900	0.066	35.838	0.795	4	NA	-99.59	-1.75	-3.5
6000	0.101	48.644	0.901	4	NA	-106.59	0	-0.21
6000	0.103	35.838	0.829	4	NA	-102.01	0	-0.65
6100	0.026	48.644	1.236	5	NA	-104.15	0	-1.84
6100	0.102	35.838	0.828	4	NA	-101.89	0	-0.76
6200	0.026	48.644	0.895	5	NA	-101.55	0	-0.95
6200	0.102	35.838	1.339	4	NA	-104.62	0	-2.72
6300	0.026	48.644	0.899	5	NA	-103.04	0	-0.69
6300	0.075	35.838	0.829	5	NA	-100.55	0	-0.69
6400	0.026	48.644	0.895	5	NA	-101.55	0	-0.01
6400	0.075	35.838	0.829	5	NA	-100.55	0	0.69
6500	0.026	48.644	1.609	5	NA	-104.72	0	-0.28
6500	0.101	35.838	0.661	4	NA	-101.77	0	-0.69
6600	0.026	48.644	0.895	5	NA	-101.55	0	0
6600	0.106	35.838	0.666	4	NA	-102.16	0	0
6700	0.026	48.644	0.895	5	NA	-101.55	0	0
6700	0.106	35.838	0.666	4	NA	-102.16	0	-0.73
6800	0.026	48.644	0.895	5	NA	-101.55	-1.98	-3.27
6800	0.106	35.708	0.665	4	NA	-102.15	0	0
6900	0.026	48.644	0.895	5	NA	-101.55	0	-0.51
6900	0.106	35.708	0.748	4	NA	-102.78	0	-0.69
7000	0.026	48.644	0.895	6	NA	-96.75	0	-0.06
7000	0.106	35.708	0.665	4	NA	-102.15	0	-0.18
7100	0.026	48.644	0.895	5	NA	-101.55	0	-0.1
7100	0.106	35.708	0.665	4	NA	-102.15	0	-0.51
7200	0.026	48.644	0.895	5	NA	-101.55	0	-0.96
7200	0.106	35.708	0.665	4	NA	-102.15	0	-0.84
7300	0.026	48.644	0.895	5	NA	-101.55	0	0
7300	0.106	35.708	0.665	4	NA	-102.15	-1.75	-3.5
7400	0.026	48.644	0.895	5	NA	-101.55	0	-1.71
7400	0.106	35.708	0.748	4	NA	-102.78	-1.75	-3.5
7500	0.043	48.644	0.898	5	NA	-103.2	-1.98	-3.27
7500	0.106	35.708	0.665	4	NA	-102.15	0	-0.6
7600	0.043	48.644	0.895	5	NA	-104.76	-1.98	-3.27
7600	0.069	35.708	0.833	5	NA	-98.47	0	0
7700	0.043	48.644	1.204	5	NA	-105.14	-1.98	-3.27
7700	0.06	35.708	0.824	5	NA	-98.31	-1.98	-3.27
7800	0.043	48.644	0.895	5	NA	-104.76	0	-0.69
7800	0.06	35.708	1.168	5	NA	-103.16	-1.98	-3.27
7900	0.043	48.644	0.869	5	NA	-102.2	0	-0.94
7900	0.06	35.708	0.824	5	NA	-98.31	0	-1.17
8000	0.043	48.644	0.871	5	NA	-102.76	0	-1.3
8000	0.06	35.708	0.898	5	NA	-99.1	0	-1.36
8100	0.043	48.644	0.898	5	NA	-103.2	0	0
8100	0.069	35.708	0.736	5	NA	-100.73	0	-0.69
8200	0.043	48.644	0.903	5	NA	-105.36	-1.98	-3.27
8200	0.107	35.708	0.741	4	NA	-102.84	0	-1.48
8300	0.043	48.644	0.905	5	NA	-106.12	-1.98	-3.27
8300	0.107	35.708	0.818	4	NA	-102.42	0	-0.69
8400	0.043	48.644	0.903	5	NA	-105.36	0	-0.18
8400	0.107	35.708	0.663	4	NA	-102.24	0	0
8500	0.043	48.644	0.906	5	NA	-106.6	0	0.69
8500	0.107	35.708	0.818	4	NA	-102.42	-1.75	-3.5
8600	0.043	48.644	0.905	5	NA	-106.18	0	0.69
8600	0.107	35.708	0.741	4	NA	-102.84	0	-0.69
