,body_mass,ln_body_mass
Abrocoma_bennettii,265,5.579729826
Abrocoma_cinerea,200,5.298317367
Aconaemys_fuscus,126,4.836281907
Aconaemys_porteri,126,4.836281907
Aconaemys_sagei,126,4.836281907
Bathyergus_suillus,1453,7.281385664
Capromys_pilorides,4683,8.451694209
Cavia_aperea,341,5.831882477
Cavia_porcellus,728,6.590301048
Cavia_tschudii,637,6.456769656
Chinchilla_lanigera,650,6.476972363
Clyomys_laticeps,201,5.303304908
Coendou_bicolor,3900,8.268731832
Cryptomys_hottentotus,132,4.882801923
Ctenomys_boliviensis,450,6.109247583
Ctenomys_haigi,120,4.787491743
Ctenomys_steinbachi,400,5.991464547
Cuniculus_paca,8000,8.987196821
Cuniculus_taczanowskii,8000,8.987196821
Dactylomys_boliviensis,729,6.591673732
Dactylomys_dactylinus,675,6.514712691
Dasyprocta_leporina,3265,8.091015042
Dinomys_branickii,12500,9.433483923
Dolichotis_patagonum,17000,9.740968623
Echimys_chrysurus,620,6.429719478
Erethizon_dorsatum,5250,8.565983356
Euryzygomatomys_spinosus,187,5.231108617
Galea_musteloides,450,6.109247583
Georychus_capensis,181,5.198497031
Heliophobius_argenteocinereus,160,5.075173815
Heterocephalus_glaber,55,4.007333185
Hoplomys_gymnurus,450,6.109247583
Hydrochoerus_hydrochaeris,55000,10.91508846
Hystrix_brachyurus,5400,8.594154233
Isothrix_bistriata,445,6.098074282
Isothrix_sinnamariensis,292,5.676753802
Kannabateomys_amblyonyx,476,6.165417854
Kerodon_rupestris,950,6.856461985
Lagidium_viscacia,1540,7.339537695
Lagostomus_maximus,5000,8.517193191
Lonchothrix_emiliae,138,4.927253685
Makalata_didelphoides,444,6.095824562
Makalata_macrura,439,6.084499413
Mesomys_hispidus,166,5.111987788
Microcavia_australis,300,5.703782475
Myocastor_coypus,7500,8.9226583
Myoprocta_acouchy,1250,7.13089883
Octodon_bridgesi,235,5.459585514
Octodon_degus,235,5.459585514
Octodon_lunatus,235,5.459585514
Octodontomys_gliroides,150,5.010635294
Octomys_mimax,80,4.382026635
Petromus_typicus,200,5.298317367
Phyllomys_blainvilii,243,5.493061443
Phyllomys_brasiliensis,304,5.717027701
Proechimys_longicaudatus,295,5.686975356
Proechimys_quadruplicatus,334,5.811140993
Proechimys_roberti,265,5.579729826
Proechimys_simonsi,265,5.579729826
Spalacopus_cyanus,116,4.753590191
Sphiggurus_melanura,1249,7.13009851
Thrichomys_apereoides,350,5.857933154
Thryonomys_swinderianus,5500,8.612503371
Toromys_grandis,585,6.371611847
Trinomys_dimidiatus,259,5.556828062
Trinomys_eliasi,212,5.356586275
Trinomys_iheringi,205,5.323009979
Trinomys_setosus,285,5.65248918
Tympanoctomys_barrerae,80,4.382026635
