"","gene_fam","fisherPvalues_Capybara","fisherPvalues_Capybara_Bonferroni"
"1","PTHR26451:SF597",1,1
"2","PTHR11785:SF440",0.234844768607475,1
"3","PTHR12353:SF27",0.00713696093192002,1
"4","PTHR15934:SF10",0.116204053415242,1
"5","PTHR24230:SF99",1,1
"6","PTHR23316:SF46",1,1
"7","PTHR22727:SF32",1,1
"8","PTHR31545:SF6",0.370448143337681,1
"9","PTHR24006:SF598",0.725696445879893,1
"10","PTHR12317:SF40",0.54860283777153,1
"11","PTHR24339:SF42",0.491400715750939,1
"12","PTHR24412:SF324",1,1
"13","PTHR13948:SF33",0.383975968110966,1
"14","PTHR19282:SF317",0.54860283777153,1
"15","PTHR18916:SF56",0.0338435443937698,1
"16","PTHR14562",0.52102173244648,1
"17","PTHR10098:SF136",1,1
"18","PTHR19282:SF340",1,1
"19","PTHR24058:SF71",0.373860926774968,1
"20","PTHR24243:SF188",1,1
"21","PTHR11359:SF16",0.727733593409787,1
"22","PTHR12757:SF10",0.54860283777153,1
"23","PTHR34251",1,1
"24","PTHR22738:SF21",1,1
"25","PTHR26451:SF526",1,1
"26","PTHR24413:SF144",1,1
"27","PTHR10179:SF63",0.54860283777153,1
"28","PTHR24082:SF420",0.121557274601599,1
"29","PTHR10672:SF31",0.0681748003995051,1
"30","PTHR12025:SF19",1,1
"31","PTHR24242:SF333",0.491400715750939,1
"32","PTHR24377:SF464",0.628684760565179,1
"33","PTHR19212:SF9",0.0687072538806339,1
"34","PTHR24338:SF14",0.470765688157878,1
"35","PTHR35069:SF2",1,1
"36","PTHR24178:SF3",0.522752056212776,1
"37","PTHR23257:SF660",1,1
"38","PTHR10063:SF8",0.0475749134438502,1
"39","PTHR43490:SF48",0.356269680382059,1
"40","PTHR12622:SF32",0.771457580010839,1
"41","PTHR24387:SF254",0.624705663462955,1
"42","PTHR13711:SF241",0.0314010671249544,1
"43","PTHR26452:SF566",0.511231209360091,1
"44","PTHR12202:SF2",0.624705663462955,1
"45","PTHR21859:SF34",1,1
"46","PTHR22589:SF78",1,1
"47","PTHR40142",0.54860283777153,1
"48","PTHR23065:SF30",0.724028649237062,1
"49","PTHR12974:SF68",0.511231209360091,1
"50","PTHR43173:SF3",1,1
"51","PTHR32341:SF19",0.724388147246574,1
"52","PTHR23319:SF19",1,1
"53","PTHR12231:SF197",1,1
"54","PTHR10484:SF150",0.114644358942508,1
"55","PTHR12680:SF10",0.724028649237062,1
"56","PTHR11733:SF171",0.373366693144296,1
"57","PTHR14796:SF9",0.54860283777153,1
"58","PTHR18916:SF54",0.332787909762662,1
"59","PTHR10529:SF319",0.0197900427207001,1
"60","PTHR28656",1,1
"61","PTHR11987:SF38",0.53028853548174,1
"62","PTHR24034:SF70",1,1
"63","PTHR19325:SF459",0.53028853548174,1
"64","PTHR22874",0.532547959527293,1
"65","PTHR16308:SF21",0.00282811954435742,1
"66","PTHR11705:SF108",0.491400715750939,1
"67","PTHR26453:SF475",0.127210479853101,1
"68","PTHR10845:SF234",0.526660216094288,1
"69","PTHR22835:SF332",0.275645999495851,1
"70","PTHR24377:SF514",0.272513514346396,1
"71","PTHR23036:SF141",0.614992500428838,1
"72","PTHR22957:SF353",0.528414237158378,1
"73","PTHR16209:SF8",1,1
"74","PTHR12665:SF18",1,1
"75","PTHR22880:SF177",1,1
"76","PTHR12358:SF65",0.532547959527293,1
"77","PTHR31158:SF6",1,1
"78","PTHR12167:SF4",0.470765688157878,1
"79","PTHR11626",0.614992500428838,1
"80","PTHR19331:SF361",0.705866601641367,1
"81","PTHR10953:SF177",1,1
"82","PTHR24381:SF186",1,1
"83","PTHR21559:SF19",0.732010050314526,1
"84","PTHR22884:SF422",0.138368119526328,1
"85","PTHR13229:SF9",1,1
"86","PTHR22590:SF5",0.40994995043347,1
"87","PTHR23239:SF293",1,1
"88","PTHR24402:SF249",1,1
"89","PTHR28581:SF3",0.269342389152307,1
"90","PTHR10996:SF195",0.444175107938152,1
"91","PTHR11559:SF289",0.339432642201107,1
"92","PTHR11728:SF25",0.583117115443178,1
"93","PTHR22880:SF191",0.727733593409787,1
"94","PTHR23107:SF13",0.415681666169693,1
"95","PTHR43782:SF2",0.491400715750939,1
"96","PTHR24347:SF265",0.521929331213129,1
"97","PTHR10082:SF47",0.679330718844024,1
"98","PTHR24377:SF383",1,1
"99","PTHR41694:SF3",0.0157034599934146,1
"100","PTHR12232:SF11",1,1
"101","PTHR12083",1,1
"102","PTHR23281:SF28",0.52105559040076,1
"103","PTHR15856",1,1
"104","PTHR11738:SF123",1.05459161362037e-13,2.43716121907667e-09
"105","PTHR10217:SF591",1,1
"106","PTHR19964:SF61",0.801606964945358,1
"107","PTHR13329:SF3",0.53028853548174,1
"108","PTHR14870",1,1
"109","PTHR23065:SF40",0.0469567308350228,1
"110","PTHR24058:SF90",0.52105559040076,1
"111","PTHR22835:SF365",1,1
"112","PTHR24237:SF34",1,1
"113","PTHR11255:SF62",1,1
"114","PTHR26453:SF441",1,1
"115","PTHR24381:SF201",0.415681666169693,1
"116","PTHR32463",1,1
"117","PTHR22951:SF32",0.133941115133521,1
"118","PTHR24413:SF191",0.54860283777153,1
"119","PTHR24404:SF49",0.403700338029936,1
"120","PTHR37879:SF2",0.599371683754074,1
"121","PTHR22936:SF47",0.724946943483498,1
"122","PTHR24369:SF136",1,1
"123","PTHR19316:SF24",1,1
"124","PTHR12752:SF15",0.447728286695082,1
"125","PTHR12650",0.00444178699877985,1
"126","PTHR11102:SF115",1,1
"127","PTHR13500",0.54860283777153,1
"128","PTHR21588:SF11",1,1
"129","PTHR13393",0.313106928193021,1
"130","PTHR19303:SF337",0.521929331213129,1
"131","PTHR19957:SF192",0.522752056212776,1
"132","PTHR10373:SF45",0.52105559040076,1
"133","PTHR42665:SF2",0.723877095517443,1
"134","PTHR20939:SF14",0.254709937353274,1
"135","PTHR10159:SF429",0.614992500428838,1
"136","PTHR11377:SF9",0.679330718844024,1
"137","PTHR11590:SF54",1,1
"138","PTHR24291:SF85",0.341977052485756,1
"139","PTHR14024:SF36",1,1
"140","PTHR18929:SF159",1,1
"141","PTHR26451:SF773",0.329086078332704,1
"142","PTHR13800:SF27",1,1
"143","PTHR23087:SF18",4.16259071507256e-12,9.61974714253268e-08
"144","PTHR24356:SF292",1,1
"145","PTHR23182:SF7",0.521360975797898,1
"146","PTHR26453:SF395",0.118889912485046,1
"147","PTHR10044:SF139",0.52105559040076,1
"148","PTHR15527",0.254709937353274,1
"149","PTHR31007:SF5",0.470765688157878,1
"150","PTHR11214:SF197",0.733728739024062,1
"151","PTHR26450:SF327",0.470765688157878,1
"152","PTHR10373:SF44",0.00625579762674765,1
"153","PTHR24064:SF351",0.54860283777153,1
"154","PTHR11473:SF26",0.53028853548174,1
"155","PTHR10910:SF122",1,1
"156","PTHR23105:SF92",1,1
"157","PTHR21567:SF45",0.00564109363344428,1
"158","PTHR10660:SF9",0.313106928193021,1
"159","PTHR21567:SF49",0.0996217040379534,1
"160","PTHR24006:SF610",0.523820527658966,1
"161","PTHR15124:SF19",0.491400715750939,1
"162","PTHR22952:SF305",0.722285096914876,1
"163","PTHR24413:SF162",1,1
"164","PTHR19353:SF39",1,1
"165","PTHR22409:SF3",0.511231209360091,1
"166","PTHR10245:SF76",1,1
"167","PTHR38000:SF2",0.328136774268949,1
"168","PTHR12832:SF27",1,1
"169","PTHR43521:SF1",0.53028853548174,1
"170","PTHR24369:SF130",0.724388147246574,1
"171","PTHR19134:SF386",0.000473151758692345,1
"172","PTHR11937:SF313",0.470765688157878,1
"173","PTHR26453:SF351",0.086536824895408,1
"174","PTHR11211:SF25",0.566203084715547,1
"175","PTHR24031:SF367",1,1
"176","PTHR12308:SF56",1,1
"177","PTHR21331",1,1
"178","PTHR24418:SF347",0.0157954139085657,1
"179","PTHR14098:SF20",1,1
"180","PTHR10529:SF275",0.254709937353274,1
"181","PTHR21043:SF2",1,1
"182","PTHR33517:SF6",1,1
"183","PTHR24412:SF345",0.511231209360091,1
"184","PTHR12064:SF39",1,1
"185","PTHR11586:SF28",1,1
"186","PTHR13402:SF18",0.374606158622159,1
"187","PTHR16435:SF7",1,1
"188","PTHR12383:SF31",1,1
"189","PTHR23231:SF20",1,1
"190","PTHR22847:SF505",0.566203084715547,1
"191","PTHR31885:SF12",0.470765688157878,1
"192","PTHR26451:SF524",0.000661102606661156,1
"193","PTHR12299:SF40",1,1
"194","PTHR11339:SF312",1,1
"195","PTHR33166",3.29570872091014e-06,0.0761638285402334
"196","PTHR10609:SF19",0.521929331213129,1
"197","PTHR33517:SF7",0.470765688157878,1
"198","PTHR15175:SF5",1,1
"199","PTHR15350:SF12",1,1
"200","PTHR24072:SF192",1,1
"201","PTHR12121:SF55",1,1
"202","PTHR28579:SF2",1,1
"203","PTHR10972:SF119",0.72900450079445,1
"204","PTHR12241:SF144",0.583117115443178,1
"205","PTHR13774:SF23",0.72900450079445,1
"206","PTHR24006:SF639",0.10220045556843,1
"207","PTHR10454:SF168",1,1
"208","PTHR40389",0.175507290452154,1
"209","PTHR10924:SF24",1,1
"210","PTHR24381:SF183",0.094234175254178,1
"211","PTHR24012:SF623",0.035101188814523,1
"212","PTHR31200:SF2",1,1
"213","PTHR11915:SF408",0.725696445879893,1
"214","PTHR24361:SF441",0.134003517098685,1
"215","PTHR12447:SF16",1,1
"216","PTHR13902:SF82",0.266297696049749,1
"217","PTHR23319:SF23",1,1
"218","PTHR21553:SF28",0.384499616765315,1
"219","PTHR14955:SF10",0.723877095517443,1
"220","PTHR26452:SF434",1,1
"221","PTHR31514:SF2",0.267028217501506,1
"222","PTHR20515:SF8",0.566203084715547,1
"223","PTHR24041:SF27",1,1
"224","PTHR23244:SF343",0.283966834292859,1
"225","PTHR10408:SF18",1,1
"226","PTHR21136:SF124",0.624705663462955,1
"227","PTHR10653:SF12",0.470765688157878,1
"228","PTHR14742",0.566203084715547,1
"229","PTHR23193:SF36",1,1
"230","PTHR21257:SF44",1,1
"231","PTHR12223:SF34",1,1
"232","PTHR23220:SF94",0.566203084715547,1
"233","PTHR23215:SF1",0.373130008629335,1
"234","PTHR24326:SF431",1,1
"235","PTHR14247:SF17",1,1
"236","PTHR23113:SF242",0.378281556025855,1
"237","PTHR24381:SF224",1,1
"238","PTHR11566:SF112",0.134564200878779,1
"239","PTHR10270:SF273",1,1
"240","PTHR22880:SF215",1,1
"241","PTHR18937:SF308",1,1
"242","PTHR10857:SF79",1,1
"243","PTHR13999:SF20",1,1
"244","PTHR23319:SF21",0.135694543225582,1
"245","PTHR21083:SF1",0.511231209360091,1
"246","PTHR16024:SF12",0.511231209360091,1
"247","PTHR11347:SF161",1,1
"248","PTHR26452:SF687",0.272513514346396,1
"249","PTHR10288:SF183",0.194276519028583,1
"250","PTHR19229:SF178",1,1
"251","PTHR24365:SF445",1,1
"252","PTHR11911:SF111",1,1
"253","PTHR12490:SF7",1,1
"254","PTHR31036",1,1
"255","PTHR13518:SF2",1,1
"256","PTHR13809:SF36",0.491400715750939,1
"257","PTHR14972:SF11",1,1
"258","PTHR13952:SF8",0.614992500428838,1
"259","PTHR11501:SF19",0.135865951768179,1
"260","PTHR10110:SF151",0.674265203756203,1
"261","PTHR14611:SF6",0.599371683754074,1
"262","PTHR11905:SF163",1,1
"263","PTHR24416:SF429",1,1
"264","PTHR26450:SF294",0.16819933917042,1
"265","PTHR23113:SF266",0.332787909762662,1
"266","PTHR19269:SF52",0.0544602286627576,1
"267","PTHR37359",0.639611418007976,1
"268","PTHR10174:SF165",1,1
"269","PTHR12011:SF398",0.266729953373746,1
"270","PTHR10196:SF86",1,1
"271","PTHR19229:SF175",0.407694426940319,1
"272","PTHR11662:SF378",1,1
"273","PTHR24418:SF348",0.415681666169693,1
"274","PTHR22800:SF195",1,1
"275","PTHR17102",0.62567208828275,1
"276","PTHR13793:SF104",0.121557274601599,1
"277","PTHR24377:SF520",1,1
"278","PTHR24409:SF187",0.724946943483498,1
"279","PTHR23257:SF609",1,1
"280","PTHR11753:SF28",0.398412449582303,1
"281","PTHR11461:SF254",1,1
"282","PTHR24361:SF452",1,1
"283","PTHR15073:SF7",0.730432670201548,1
"284","PTHR21838:SF3",0.583117115443178,1
"285","PTHR12162",0.403320256849508,1
"286","PTHR24377:SF387",1,1
"287","PTHR11697:SF142",0.331677662408102,1
