Hhyd_Code	GC_content_total	GC_first_codon_pos	GC_second_codon_pos	GC_third_codon_pos	Gene_length	Prot_length
s10_001997351	65.05681818181819	73.86363636363636	48.29545454545455	73.01136363636364	1056	352.0
s10_001740335	50.595238095238095	50.892857142857146	38.98809523809524	61.904761904761905	1008	336.0
s10_001739431	51.851851851851855	56.71296296296296	39.81481481481482	59.02777777777778	1296	432.0
s10_000880850	60.28202115158637	64.5123384253819	52.408930669800235	63.92479435957697	2553	851.0
s10_000945310	47.90996784565916	44.69453376205788	38.90675241157556	60.12861736334405	933 	311.0
s10_000966333	49.00199600798403	46.10778443113772	38.92215568862275	61.97604790419162	1002	334.0
s10_000975325	43.4560327198364	46.31901840490798	35.2760736196319	48.77300613496933	978 	326.0
s10_000973289	48.735632183908045	46.89655172413793	39.6551724137931	59.6551724137931	870 	290.0
s10_001041184	52.252252252252255	47.027027027027025	36.75675675675676	72.97297297297297	555 	185.0
s10_000050409	39.1869918699187	46.829268292682926	37.073170731707314	33.65853658536585	1230	410.0
s10_000064895	58.779761904761905	76.89732142857143	71.42857142857143	28.013392857142858	2688	896.0
s10_000088356	60.41083099906629	60.22408963585434	42.296918767507	78.71148459383754	1071	357.0
s10_000118325	66.97341513292433	60.736196319018404	58.895705521472394	81.28834355828221	978 	326.0
s10_002268316	55.48523206751055	60.44303797468354	28.79746835443038	77.21518987341773	948 	316.0
s10_001786495	54.973118279569896	57.86290322580645	41.53225806451613	65.5241935483871	1488	496.0
s10_001546284	58.47953216374269	56.14035087719298	41.40350877192982	77.89473684210526	855 	285.0
s10_001890362	74.01285583103765	74.10468319559229	57.30027548209367	90.633608815427	1089	363.0
s10_001900743	68.81720430107526	70.43010752688173	48.52150537634409	87.5	2232	744.0
s10_001145267	61.81592039800995	67.91044776119404	39.17910447761194	78.35820895522389	804 	268.0
s10_001232232	64.2346208869814	66.09442060085837	46.78111587982833	79.8283261802575	699 	233.0
s10_001080814	65.93047034764827	69.93865030674847	49.32515337423313	78.52760736196319	2445	815.0
s10_001305331	63.95582329317269	64.1566265060241	59.93975903614458	67.7710843373494	996 	332.0
s10_001374494	58.72053872053872	60.0	48.686868686868685	67.47474747474747	1485	495.0
s10_002236714	47.17948717948718	56.92307692307692	36.78321678321678	47.83216783216783	2145	715.0
s10_001632186	59.001782531194294	56.149732620320854	44.919786096256686	75.93582887700535	561 	187.0
s10_001661340	42.619745845552295	45.16129032258065	31.671554252199414	51.02639296187683	1023	341.0
s10_001464303	58.55263157894737	65.78947368421052	34.21052631578947	75.65789473684211	912 	304.0
s10_001985446	51.97613721103654	56.82326621923937	42.50559284116331	56.59955257270693	1341	447.0
s10_000598256	70.8171206225681	70.8171206225681	51.36186770428016	90.27237354085604	771 	257.0
s10_000644338	54.27728613569322	53.392330383480825	39.233038348082594	70.20648967551622	1017	339.0
s10_000779824	51.35353535353536	57.57575757575758	38.18181818181818	58.303030303030305	2475	825.0
s10_000498667	45.30938123752495	47.604790419161674	41.01796407185629	47.30538922155689	2004	668.0
