sp,sp_arbol,masa_gr,ln.masa,omega.mt,omega.nuc_49gen,omega.nuc_199gen,omega.nuc_229gen
Jerboa,Jerboa,55,4.007333185,0.03571538,0.1547234,0.09121212,0.09321498
BMRat,BMRat,160,5.075173815,0.05637692,0.1634543,0.09127273,0.1010661
Hamster,Hamster,105,4.65396035,0.05758462,0.1582848,0.0927601,0.09310264
Rat,Rattus,300,5.703782475,0.0403,0.15756,0.09061212,0.09497709
Mouse,Mus,20.5,3.020424886,0.04613077,0.17586,0.09267296,0.09926489
GuineaPig,Cavia,728,6.590301048,0.05214615,0.2136511,0.1199788,0.1240498
Capybara,Capybara,55000,10.91508846,0.16045455,0.3200413,0.1424645,0.1517319
Degu,Degu,235,5.459585514,0.09838462,0.1693714,0.09568485,0.1010172
Chinchilla,Chinchilla,650,6.476972363,0.0746,0.2151186,0.1038228,0.1017649
NMRat,NMRat,55,4.007333185,0.13022308,0.2711696,0.1384111,0.1472313
