sp,sp_arbol,masa_gr,ln.masa,gen.time_days,median_omega,median_dn,median_ds
Marmota,Marmota,3500,8.160518247,730,0.0671,0.001425,0.017284
Squirrel,Ictidomys,172.7,5.151555985,289,0.0331,0.000914,0.018818
Castor,Castor,20250,9.915910073,639,0.0739,0.011192,0.147862
KangRat,Dipodomys,57,4.043051268,61,0.0664,0.016728,0.255553
Jerboa,Jerboa,55,4.007333185,232,0.0605,0.014706,0.24512
BMRat,BMRat,160,5.075173815,360,0.0694,0.010503,0.162163
DeerMouse,DeerMouse,20.5,3.020424886,49,0.0533,0.005371,0.099941
Hamster,Hamster,105,4.65396035,48,0.0622,0.006836,0.109596
Vole,Vole,40,3.688879454,47,0.07165,0.007156,0.119726
Rat,Rattus,300,5.703782475,80,0.0638,0.005917,0.093872
Mouse,Mus,20.5,3.020424886,42,0.0553,0.005497,0.087713
GuineaPig,Cavia,728,6.590301048,71,0.076,0.006256,0.072234
Capybara,Capybara,55000,10.91508846,456,0.0964,0.006333,0.065452
Degu,Degu,235,5.459585514,182,0.0726,0.010134,0.139082
Chinchilla,Chinchilla,650,6.476972363,240,0.071,0.006513,0.09436
NMRat,NMRat,55,4.007333185,228,0.1052,0.011666,0.106925
