ORTHOGROUP,CAPYBARA ID,GUINEA PIG ID,RAT ID
OG0005020,s5_001275-RA,ENSCPOP00000007410,ENSRNOP00000006791
OG0005021,s5_001276-RA,ENSCPOP00000010407,ENSRNOP00000006890
OG0005022,s3_000001-RA,ENSCPOP00000020773,ENSRNOP00000010539
OG0005023,s3_000004-RA,ENSCPOP00000012816,ENSRNOP00000035072
OG0005024,s3_000007-RA,ENSCPOP00000018905,ENSRNOP00000005668
OG0005025,s3_000009-RA,ENSCPOP00000004537,ENSRNOP00000006004
OG0005026,s3_000016-RA,ENSCPOP00000016975,ENSRNOP00000006411
OG0005027,s3_000012-RA,ENSCPOP00000011054,ENSRNOP00000005803
OG0005028,s3_000013-RA,ENSCPOP00000011049,ENSRNOP00000006029
OG0005029,s3_000014-RA,ENSCPOP00000011047,ENSRNOP00000006142
OG0005030,s3_000015-RA,ENSCPOP00000011044,ENSRNOP00000006195
OG0005031,s3_000017-RA,ENSCPOP00000008944,ENSRNOP00000006917
OG0005032,s3_000020-RA,ENSCPOP00000011465,ENSRNOP00000008700
OG0005033,s3_000024-RA,ENSCPOP00000010274,ENSRNOP00000038047
OG0005035,s3_000027-RA,ENSCPOP00000005229,ENSRNOP00000005887
OG0005036,s3_000028-RA,ENSCPOP00000005223,ENSRNOP00000005815
OG0005037,s3_000029-RA,ENSCPOP00000007641,ENSRNOP00000063778
OG0005038,s3_000030-RA,ENSCPOP00000012148,ENSRNOP00000005722
OG0005039,s3_000031-RA,ENSCPOP00000015626,ENSRNOP00000038101
OG0005040,s3_000032-RA,ENSCPOP00000012733,ENSRNOP00000050750
OG0005042,s3_000033-RA,ENSCPOP00000010877,ENSRNOP00000011904
OG0005043,s3_000035-RA,ENSCPOP00000001279,ENSRNOP00000011379
OG0005044,s3_000036-RA,ENSCPOP00000010134,ENSRNOP00000011344
OG0005045,s3_000041-RA,ENSCPOP00000011724,ENSRNOP00000031943
OG0005046,s3_000042-RA,ENSCPOP00000017426,ENSRNOP00000070045
OG0005047,s3_000044-RA,ENSCPOP00000011923,ENSRNOP00000006209
OG0005048,s3_000045-RA,ENSCPOP00000007427,ENSRNOP00000005828
OG0005049,s3_000046-RA,ENSCPOP00000013852,ENSRNOP00000005786
OG0005050,s3_000047-RA,ENSCPOP00000007352,ENSRNOP00000039913
OG0005051,s3_000054-RA,ENSCPOP00000004945,ENSRNOP00000005556
OG0005052,s3_000056-RA,ENSCPOP00000000956,ENSRNOP00000005705
OG0005053,s3_000061-RA,ENSCPOP00000009876,ENSRNOP00000006402
OG0005054,s3_000062-RA,ENSCPOP00000005047,ENSRNOP00000006685
OG0005055,s3_000063-RA,ENSCPOP00000010195,ENSRNOP00000006783
OG0005056,s3_000065-RA,ENSCPOP00000005896,ENSRNOP00000071758
OG0005057,s3_000070-RA,ENSCPOP00000008960,ENSRNOP00000034048
OG0005058,s3_000072-RA,ENSCPOP00000001959,ENSRNOP00000013801
OG0005059,s3_000074-RA,ENSCPOP00000001957,ENSRNOP00000014333
OG0005060,s3_000077-RA,ENSCPOP00000013022,ENSRNOP00000014407
OG0005061,s3_000078-RA,ENSCPOP00000020081,ENSRNOP00000014879
OG0005062,s3_000079-RA,ENSCPOP00000017836,ENSRNOP00000015707
OG0005063,s3_000080-RA,ENSCPOP00000002638,ENSRNOP00000006943
OG0005064,s3_000087-RA,ENSCPOP00000018774,ENSRNOP00000008969
OG0005065,s3_000088-RA,ENSCPOP00000005719,ENSRNOP00000009989
OG0005067,s3_000091-RA,ENSCPOP00000009265,ENSRNOP00000007255
OG0005068,s3_000094-RA,ENSCPOP00000003151,ENSRNOP00000006185
OG0005070,s3_000099-RA,ENSCPOP00000011168,ENSRNOP00000032124
OG0005071,s3_000101-RA,ENSCPOP00000009603,ENSRNOP00000058286
OG0005072,s3_000102-RA,ENSCPOP00000013905,ENSRNOP00000010591
OG0005073,s3_000109-RA,ENSCPOP00000008375,ENSRNOP00000058100
OG0005074,s3_000110-RA,ENSCPOP00000008374,ENSRNOP00000020245
OG0005075,s3_000111-RA,ENSCPOP00000010471,ENSRNOP00000058084
OG0005076,s3_000112-RA,ENSCPOP00000008720,ENSRNOP00000020826
OG0005077,s3_000113-RA,ENSCPOP00000005928,ENSRNOP00000021612
OG0005078,s3_000118-RA,ENSCPOP00000012374,ENSRNOP00000058042
OG0005079,s3_000123-RA,ENSCPOP00000012240,ENSRNOP00000008726
OG0005081,s3_000125-RA,ENSCPOP00000000099,ENSRNOP00000009759
OG0005082,s3_000127-RA,ENSCPOP00000000546,ENSRNOP00000010845
OG0005083,s3_000128-RA,ENSCPOP00000004280,ENSRNOP00000011330
OG0005084,s3_000129-RA,ENSCPOP00000012336,ENSRNOP00000012377
OG0005085,s3_000131-RA,ENSCPOP00000012332,ENSRNOP00000012394
OG0005086,s3_000132-RA,ENSCPOP00000005780,ENSRNOP00000012963
OG0005087,s3_000134-RA,ENSCPOP00000008560,ENSRNOP00000072572
OG0005088,s3_000136-RA,ENSCPOP00000012983,ENSRNOP00000008281
OG0005089,s3_000138-RA,ENSCPOP00000012976,ENSRNOP00000009047
OG0005090,s3_000140-RA,ENSCPOP00000008653,ENSRNOP00000009334
OG0005091,s3_000142-RA,ENSCPOP00000007138,ENSRNOP00000013354
OG0005092,s3_000143-RA,ENSCPOP00000001034,ENSRNOP00000014177
OG0005093,s3_000144-RA,ENSCPOP00000011583,ENSRNOP00000014267
OG0005094,s3_000145-RA,ENSCPOP00000015748,ENSRNOP00000031323
OG0005095,s3_000146-RA,ENSCPOP00000020459,ENSRNOP00000056222
OG0005096,s3_000154-RA,ENSCPOP00000012351,ENSRNOP00000013720
OG0005097,s3_000157-RA,ENSCPOP00000012678,ENSRNOP00000013904
OG0005098,s3_000158-RA,ENSCPOP00000015359,ENSRNOP00000051406
