Gen,LR,pvalue,DNA_tamura-nei-D,prot_pdistance,ensmbl_CporID,gene_name
cluster13970,0,1,0.011554201,-0.010416667,ENSCPOP00000000370,HINT2
cluster14675,0,1,-0.005748452,0.001104972,ENSCPOP00000003052,LARP1
cluster11296,0,1,-0.058104529,-0.06097561,ENSCPOP00000009997,SCUBE2
cluster14051,35.88349,2.09E-09,0.031522821,0.025,ENSCPOP00000006740,NIFK
cluster10630,0,1,-0.002177248,-0.003030303,ENSCPOP00000018455,GPR3
cluster11530,0,1,-0.008021361,-0.015243902,ENSCPOP00000010504,UBIAD1
cluster11656,0.01993,0.88773276,-0.001449313,0.006269592,ENSCPOP00000018141,OR56B4
cluster12152,0,1,-0.050068494,-0.057971014,ENSCPOP00000003110,TMED2
cluster12538,0.063376,0.801237473,-0.019515577,0.007633588,ENSCPOP00000018021,TXNDC9
cluster14196,2.559204,0.109653782,-0.004841717,-0.003861004,ENSCPOP00000013875,LRIT2
cluster14389,0,1,0.001832298,0.014625229,ENSCPOP00000005715,LINGO3
cluster15015,0,1,0.000202236,0.00918197,ENSCPOP00000010041,ATP13A1
cluster12300,0,1,-0.003155777,0,ENSCPOP00000001439,NAA20
cluster11341,0,1,0.00308315,0,ENSCPOP00000004092,MAB21L1
cluster11338,0,1,-0.021042018,-0.005347594,ENSCPOP00000002893,TLX1
cluster12026,37.270752,1.03E-09,0.046685232,0.047021944,ENSCPOP00000011514,BCAT2
cluster13999,23.104798,1.53E-06,0.028031083,0.024539877,ENSCPOP00000003382,PDF
cluster10565,0,1,-0.004306366,0,ENSCPOP00000018926,CAPZA3
cluster12857,0,1,-0.029110175,-0.028436019,ENSCPOP00000002240,APOBR
cluster11796,0,1,0.003156309,-0.00913242,ENSCPOP00000002967,C1QL3
cluster13084,0,1,0.001202823,-0.003278689,ENSCPOP00000003342,NTAN1
cluster13574,0,1,0.001912082,0.005208333,ENSCPOP00000004597,TSPAN6
cluster14225,0,1,-0.011111021,-0.002915452,ENSCPOP00000001629,E2F1
cluster11750,42.97537,5.54E-11,0.042054139,0.028901734,ENSCPOP00000000099,TMEM64
cluster11577,2.09011,0.148255395,0.008795267,0.036363636,ENSCPOP00000021245,CXCL17
cluster15059,0,1,0.300897858,0.285529716,ENSCPOP00000019658,AGAP1
cluster12214,0,1,0.011282882,0,ENSCPOP00000009481,CREG2
cluster13329,0.00048,0.982520623,0.003548752,0.003164557,ENSCPOP00000012985,KDSR
cluster10147,0,1,-0.001028092,0,ENSCPOP00000004124,NR1D2
cluster14827,0,1,-0.001581062,-0.007874016,ENSCPOP00000010034,CDC42EP3
cluster12171,33.35881,7.66E-09,0.027279535,0.028673835,ENSCPOP00000009533,NAPA
cluster11654,1.111212,0.291818638,0.001553463,0.002053388,ENSCPOP00000012280,STK4
cluster13073,6.046608,0.013933038,-0.038595756,0,ENSCPOP00000011169,CHCHD2
cluster14783,0,1,-0.001789596,-0.00872093,ENSCPOP00000011414,STK17A
cluster12697,25.589958,4.22E-07,0.04711816,0.058139535,ENSCPOP00000001841,0
cluster14521,58.37281,2.16E-14,0.002636213,-0.017167382,ENSCPOP00000002018,GCFC2
cluster15069,0,1,0.003947501,-0.002415459,ENSCPOP00000008427,POFUT2
cluster10353,0,1,-0.03195597,-0.025974026,ENSCPOP00000012650,C1orf64
cluster13075,74.462798,0,0.063926293,0.072,ENSCPOP00000007548,0
cluster14559,10.562964,0.00115376,0.005556149,0,ENSCPOP00000009288,OFCC1
cluster14629,0,1,0.006103567,0.044444444,ENSCPOP00000020721,LYPD5
cluster11250,0,1,-0.001734804,-0.002824859,ENSCPOP00000019738,EXOC8
cluster12902,0,1,-0.00884978,0,ENSCPOP00000004847,0
cluster14787,0.729126,0.393166633,0.008621161,-0.003333333,ENSCPOP00000009514,0
cluster10882,0.021844,0.882502852,-0.006829992,0.012195122,ENSCPOP00000006812,DPT
cluster13801,63.557818,1.55E-15,0.109868434,0.100671141,ENSCPOP00000009599,FGF20
cluster12884,0,1,0.007747458,0.025445293,ENSCPOP00000008910,NMUR2
cluster11393,0,1,0.005156457,0,ENSCPOP00000009075,HOXB4
cluster11866,10.260854,0.001358828,0.026328626,0.041884817,ENSCPOP00000006277,MTERF2
cluster11332,0,1,0.004768885,0,ENSCPOP00000020403,NPW
cluster10972,0,1,0.007144625,-0.005059022,ENSCPOP00000008128,0
cluster10729,0,1,-0.113083398,-0.114649682,ENSCPOP00000002806,PDHX
cluster11108,4.812658,0.028251437,-0.008752917,-0.001663894,ENSCPOP00000017086,KLHL34
cluster12266,0,1,-0.012826008,0,ENSCPOP00000013397,RAB1B
cluster12489,0,1,-0.001177916,0.002936858,ENSCPOP00000015535,PLK2
cluster12161,0,1,-0.001919163,-0.005050505,ENSCPOP00000008273,ZMAT2
cluster14536,0.283716,0.594275898,-0.017491911,-0.012531328,ENSCPOP00000014441,LHX5
cluster13908,0,1,0.004504533,0.020761246,ENSCPOP00000014302,TPGS1
cluster14538,0,1,0.003226419,-0.021459227,ENSCPOP00000017734,ERFE
cluster12389,0,1,0.034851435,0.060344828,ENSCPOP00000003167,C4orf36
cluster13273,0.02933,0.864019303,-0.06471238,-0.034825871,ENSCPOP00000019834,BEAN1
cluster13490,0,1,-2.30E-05,-0.002717391,ENSCPOP00000011750,SMYD5
cluster13758,22.61346,1.98E-06,0.022892631,0.018987342,ENSCPOP00000018565,PABPN1L
cluster13297,0,1,-0.009423646,-0.010526316,ENSCPOP00000001302,DUSP26
cluster14701,0,1,0.000978346,0.003039514,ENSCPOP00000020766,GMNC
cluster13907,0,1,-0.006168166,0,ENSCPOP00000008373,FIBIN
cluster11046,0.791816,0.373551571,-0.00966011,-0.007371007,ENSCPOP00000018817,CCDC105
cluster14696,0,1,-0.00257807,0,ENSCPOP00000017107,DSG2
cluster13691,19.338556,1.09E-05,0.003802002,0.010146561,ENSCPOP00000013245,CLCN1
cluster14902,0,1,0.025262029,0.015625,ENSCPOP00000014765,ATOX1
cluster13279,0.296578,0.586035703,0.012154279,0.00729927,ENSCPOP00000009433,Il17a
cluster13951,20.285082,6.67E-06,-0.009836491,-0.021978022,ENSCPOP00000007467,SLC36A2
cluster10309,0,1,-0.031605577,-0.038666667,ENSCPOP00000018735,SLC6A5
cluster12073,0,1,0.002964566,-0.008064516,ENSCPOP00000014399,P2ry1
cluster11725,0,1,-0.00616959,0,ENSCPOP00000000118,TFAM
cluster14327,29.273214,6.29E-08,-0.262030095,-0.235772358,ENSCPOP00000016404,RIN3
cluster11609,0,1,0.003747056,-0.005420054,ENSCPOP00000012154,HOXA2
cluster13554,0,1,-0.007722658,-0.017182131,ENSCPOP00000018993,KCNK13
cluster10324,0,1,0.001409775,0,ENSCPOP00000018382,BEND4
cluster14385,0,1,0.016863982,0.011235955,ENSCPOP00000013598,CHAC2
cluster11722,65.91384,4.44E-16,0.049377486,0.064896755,ENSCPOP00000014248,0
cluster13249,0,1,0.002969867,0.002557545,ENSCPOP00000004663,RIMKLA
cluster14813,0,1,0.007997689,0,ENSCPOP00000013239,MFSD4A
cluster12685,0,1,-0.008217347,-0.002777778,ENSCPOP00000000543,WARS2
cluster11595,0,1,-0.205511259,-0.2109375,ENSCPOP00000018865,IMP4
cluster10918,0,1,-0.027225306,-0.003802281,ENSCPOP00000001858,0
cluster11006,0,1,0.000709703,0,ENSCPOP00000002513,SMG8
cluster12409,0,1,0.003488386,-0.007751938,ENSCPOP00000017990,TBX21
cluster13926,95.826498,0,0.064880344,0.064814815,ENSCPOP00000016801,TERF2IP
cluster14182,0,1,-0.006668496,-0.014150943,ENSCPOP00000005268,0
cluster14349,0,1,0.001688601,0.004975124,ENSCPOP00000008440,NDFIP1
cluster12239,0,1,-0.01084652,-0.002680965,ENSCPOP00000001041,NIPAL1
cluster12715,27.256434,1.78E-07,0.035423804,0,ENSCPOP00000019530,ISX
cluster12408,0,1,0.001427284,-0.005376344,ENSCPOP00000011934,GPR45
cluster12675,3.384066,0.065829467,0.011286107,-0.01369863,ENSCPOP00000001852,CXCL10
cluster14767,97.00945,0,-0.001806039,-0.022624434,ENSCPOP00000001819,SERINC3
cluster12624,0,1,0.006776332,0.01242236,ENSCPOP00000020664,0
cluster11502,44.17044,3.01E-11,0.004883087,0.009958071,ENSCPOP00000013835,SORL1
cluster11506,3.539712,0.059915864,0.020746433,0.02238806,ENSCPOP00000016543,0
cluster14482,90.961804,0,0.036786654,0.035885167,ENSCPOP00000015333,ADGRD2
cluster11545,0,1,-0.018719335,-0.025773196,ENSCPOP00000011451,LBX2
cluster14287,0,1,0.001867533,0.004938272,ENSCPOP00000003267,RHOBTB3
cluster14126,0,1,-0.004502373,-0.021634615,ENSCPOP00000000533,TTF2
cluster11390,0,1,-1.070375903,-0.545454545,ENSCPOP00000020221,0
cluster12227,0,1,-0.003445606,-0.003003003,ENSCPOP00000014589,SHH
cluster11602,0,1,0.003397601,-0.012939002,ENSCPOP00000004938,0
cluster13383,7.92297,0.004881108,0.001118518,0.003030303,ENSCPOP00000000879,Maob
