CAPYBARA ID,GUINEA PIG ID,NAME,dN/dS
s3_001440-RA,ENSCPOP00000002505,C14orf2,1.207057182
s2_000632-RA,ENSCPOP00000018944,NRXN3,1.21516425
s4_002127-RA,ENSCPOP00000002114,LILRA,1.301452826
s2_001380-RA,ENSCPOP00000001248,CXCL13,2.761388907
s9_000481-RA,ENSCPOP00000005631,LEP,1.357434742
s9_001726-RA,ENSCPOP00000017881,SERPINI2,1.236372964
s2_003070-RA,ENSCPOP00000001754,MHC-B46,1.126248407
s6_001085-RA,ENSCPOP00000012293,VBP1,1.056949648
s4_002156-RA,ENSCPOP00000013658,PILRA,1.268416731
s6_001544-RA,ENSCPOP00000000549,CCL26,1.089464063
s2_000742-RA,ENSCPOP00000013153,CMTM,1.086196076
s10_002249-RA,ENSCPOP00000011941,MS4A12,1.005304727
s2_001981-RA,ENSCPOP00000017642,ZG16B,1.297642262
s3_000385-RA,ENSCPOP00000015033,RPS10,1.177868716
s3_000146-RA,ENSCPOP00000020459,C8orf59,2.561393704
s2_000136-RA,ENSCPOP00000016915,SFT2D2,1.496947152
s3_000558-RA,ENSCPOP00000018485,,1.727532997
s6_001399-RA,ENSCPOP00000003258,GTPBP10,1.048900864
s1_000556-RA,ENSCPOP00000011209,XCL1,1.383692874
s8_002624-RA,ENSCPOP00000017516,CMC4,1.369754087
