Cluster,ensmbl_CporID,CD_dna,GPD_dna,D_stat_DNA,CDp,GPDp,D_stat_prot
cluster10147,ENSCPOP00000004124,0.093456233921,0.0944843254537,-0.0010280915327,0.0984042553191,0.0984042553191,0
cluster10148,ENSCPOP00000001485,0.191947099048,0.196915020682,-0.00496792163377,0.243243243243,0.237237237237,0.00600600600601
cluster10149,ENSCPOP00000011691,0.129820510501,0.0819521031232,0.0478684073781,0.136476426799,0.0794044665012,0.0570719602978
cluster10150,ENSCPOP00000001939,0.131794538014,0.127407285518,0.00438725249575,0.125,0.107954545455,0.0170454545455
cluster10151,ENSCPOP00000002490,0.148750538851,0.0668317125284,0.0819188263228,0.137404580153,0.030534351145,0.106870229008
cluster10152,ENSCPOP00000001195,0.0516017585098,0.0528793677674,-0.00127760925761,0.0122950819672,0.016393442623,-0.00409836065574
cluster10153,ENSCPOP00000002207,0.0539285594418,0.0538369021959,9.16572459743e-05,0.030303030303,0.030303030303,0
cluster10154,ENSCPOP00000002132,0.0515483150886,0.0576855512493,-0.0061372361607,0.021186440678,0.0169491525424,0.00423728813559
cluster10155,ENSCPOP00000006239,0.171266221257,0.092142326535,0.0791238947223,0.121037463977,0.0317002881844,0.0893371757925
cluster10156,ENSCPOP00000011549,0.0682554013885,0.0751874907772,-0.00693208938875,0.0361173814898,0.0474040632054,-0.0112866817156
cluster10157,ENSCPOP00000008793,0.163312678057,0.105464669226,0.0578480088318,0.207792207792,0.121212121212,0.0865800865801
cluster10158,ENSCPOP00000000051,0.125806914945,0.108168364276,0.0176385506692,0.138187221397,0.117384843982,0.0208023774146
cluster10159,ENSCPOP00000013032,0.209635746565,0.179378175928,0.0302575706368,0.23595505618,0.224719101124,0.0112359550562
cluster10161,ENSCPOP00000007138,0.184566089789,0.130378522704,0.0541875670858,0.185344827586,0.146551724138,0.0387931034483
cluster10162,ENSCPOP00000020392,0.0553719289102,0.0648398582946,-0.00946792938441,0.0194174757282,0.0258899676375,-0.00647249190939
cluster10164,ENSCPOP00000007710,0.0642991442622,0.0396307083383,0.0246684359239,0.0952380952381,0.0272108843537,0.0680272108844
cluster10166,ENSCPOP00000002638,0.0756924464864,0.0778986854514,-0.00220623896498,0.0532915360502,0.0689655172414,-0.0156739811912
cluster10167,ENSCPOP00000005434,0.0671310009341,0.0764677449935,-0.00933674405943,0.0236686390533,0.0295857988166,-0.00591715976331
cluster10168,ENSCPOP00000002101,0.0866217969247,0.0886895916265,-0.0020677947018,0.0634920634921,0.0793650793651,-0.015873015873
cluster10169,ENSCPOP00000006259,0.095065710086,0.0941122742902,0.000953435795816,0.0402010050251,0.0301507537688,0.0100502512563
cluster10170,ENSCPOP00000010006,0.0813449890378,0.0737107714206,0.00763421761718,0.0437158469945,0.0327868852459,0.0109289617486
cluster10171,ENSCPOP00000002980,0.051559602434,0.0565305444541,-0.00497094202008,0.045045045045,0.045045045045,0
cluster10172,ENSCPOP00000015400,0.0686055780658,0.0883695497968,-0.0197639717309,0.00343053173242,0.0240137221269,-0.0205831903945
cluster10173,ENSCPOP00000004573,0.0509566537325,0.101623986294,-0.0506673325615,0.0235294117647,0.0823529411765,-0.0588235294118
cluster10175,ENSCPOP00000015572,0.0816082063941,0.0910558392545,-0.00944763286046,0.0843373493976,0.0963855421687,-0.0120481927711
cluster10176,ENSCPOP00000006861,0.10747623836,0.091331241299,0.0161449970613,0.0539682539683,0.0380952380952,0.015873015873
cluster10177,ENSCPOP00000015094,0.117695615146,0.102151820623,0.0155437945223,0.128078817734,0.0985221674877,0.0295566502463
cluster10178,ENSCPOP00000003079,0.157070031014,0.207691262546,-0.0506212315324,0.116822429907,0.165887850467,-0.0490654205607
cluster10179,ENSCPOP00000018911,0.078165715047,0.0838747309106,-0.00570901586362,0.0505952380952,0.0892857142857,-0.0386904761905
cluster10180,ENSCPOP00000012930,0.0871792842218,0.0871767447216,2.53950028477e-06,0.0872483221477,0.0872483221477,0
cluster10181,ENSCPOP00000019639,0.136837894298,0.123149035894,0.0136888584042,0.134328358209,0.12271973466,0.0116086235489
cluster10182,ENSCPOP00000005004,0.0809769049511,0.0869076692783,-0.00593076432721,0.0531914893617,0.0691489361702,-0.0159574468085
cluster10183,ENSCPOP00000016208,0.163797078184,0.163735155362,6.19228217244e-05,0.145161290323,0.140552995392,0.00460829493088
cluster10184,ENSCPOP00000007831,0.0506542173819,0.0525673341339,-0.00191311675198,0,0,0
cluster10185,ENSCPOP00000007251,0.0425171897651,0.0467809844723,-0.0042637947072,0.0242424242424,0.0242424242424,0
cluster10186,ENSCPOP00000017439,0.0967726372296,0.0925180732616,0.00425456396808,0.0786666666667,0.0733333333333,0.00533333333333
cluster10187,ENSCPOP00000016974,0.0852858895933,0.0802033760453,0.00508251354798,0.0558375634518,0.0583756345178,-0.00253807106599
cluster10188,ENSCPOP00000017756,0.225631716648,0.221806114424,0.00382560222481,0.193846153846,0.203076923077,-0.00923076923077
cluster10189,ENSCPOP00000001461,0.101425451401,0.100562363519,0.000863087881735,0.0594059405941,0.0643564356436,-0.0049504950495
cluster10190,ENSCPOP00000007057,0.11529496869,0.132207328296,-0.0169123596064,0.140712945591,0.168855534709,-0.0281425891182
cluster10191,ENSCPOP00000007537,0.182998415356,0.207301893611,-0.0243034782554,0.185750636132,0.178117048346,0.00763358778626
cluster10192,ENSCPOP00000021217,0.0309242376089,0.046175045121,-0.0152508075122,0.0196078431373,0.0313725490196,-0.0117647058824
cluster10193,ENSCPOP00000008599,0.146267445127,0.137450176611,0.00881726851616,0.158301158301,0.15444015444,0.003861003861
cluster10194,ENSCPOP00000003398,0.0725695637699,0.0940804635586,-0.0215108997887,0.0776119402985,0.107462686567,-0.0298507462687
cluster10195,ENSCPOP00000008323,0.0946944460872,0.082011545174,0.0126829009132,0.0302419354839,0.0322580645161,-0.00201612903226
cluster10196,ENSCPOP00000013341,0.108766705738,0.105466308924,0.00330039681458,0.0824468085106,0.0771276595745,0.00531914893617
cluster10197,ENSCPOP00000002145,0.0695806878842,0.0423135359441,0.0272671519401,0.0452830188679,0.00754716981132,0.0377358490566
cluster10198,ENSCPOP00000001891,0.188424578624,0.0544895902389,0.133934988385,0.223140495868,0.0661157024793,0.157024793388
cluster10199,ENSCPOP00000006052,0.139617591956,0.157774728348,-0.0181571363924,0.0656370656371,0.0772200772201,-0.011583011583
cluster10200,ENSCPOP00000003153,0.235796521235,0.248414053165,-0.0126175319294,0.227074235808,0.244541484716,-0.0174672489083
cluster10201,ENSCPOP00000017825,0.154465549798,0.150231526188,0.00423402361006,0.120603015075,0.125628140704,-0.00502512562814
cluster10202,ENSCPOP00000020979,0.129645563526,0.138245360014,-0.00859979648821,0.132132132132,0.105105105105,0.027027027027
cluster10204,ENSCPOP00000015547,0.0699746352925,0.181999779953,-0.112025144661,0.030959752322,0.142414860681,-0.111455108359
cluster10205,ENSCPOP00000002733,0.107998601448,0.0923226443039,0.0156759571443,0.0543806646526,0.0422960725076,0.012084592145
cluster10206,ENSCPOP00000017680,0.101134089158,0.0641958261734,0.0369382629846,0.0597609561753,0.00398406374502,0.0557768924303
cluster10207,ENSCPOP00000004989,0.164958391181,0.168002874531,-0.00304448334958,0.203931203931,0.203931203931,0
cluster10208,ENSCPOP00000007109,0.0471939800872,0.0423990357316,0.00479494435562,0.0547945205479,0.041095890411,0.013698630137
cluster10209,ENSCPOP00000013046,0.0755397633852,0.0905724818011,-0.0150327184159,0.0129449838188,0.00647249190939,0.00647249190939
cluster10210,ENSCPOP00000018188,0.179592954305,0.158109349189,0.0214836051156,0.127139364303,0.0977995110024,0.0293398533007
cluster10211,ENSCPOP00000000527,0.154461051164,0.140781740918,0.0136793102458,0.15503875969,0.157622739018,-0.00258397932817
cluster10212,ENSCPOP00000018007,0.139138989904,0.118088904333,0.0210500855704,0.144827586207,0.144827586207,0
cluster10213,ENSCPOP00000009035,0.0773855733187,0.0779939279191,-0.000608354600419,0.0203562340967,0.0229007633588,-0.00254452926209
cluster10214,ENSCPOP00000006289,0.165906015223,0.0970940661369,0.0688119490859,0.151785714286,0.10119047619,0.0505952380952
cluster10215,ENSCPOP00000010141,0.052891929405,0.0592742582515,-0.00638232884649,0.00649350649351,0.004329004329,0.0021645021645
cluster10216,ENSCPOP00000010334,0.0935655350683,0.0988510696718,-0.00528553460353,0.0394385026738,0.0374331550802,0.00200534759358
cluster10217,ENSCPOP00000015073,0.0864758057468,0.0866587516478,-0.000182945901052,0.0555555555556,0.0648148148148,-0.00925925925926
cluster10218,ENSCPOP00000009980,0.217684273018,0.077423299637,0.140260973381,0.190082644628,0.0206611570248,0.169421487603
cluster10219,ENSCPOP00000009226,0.0881496283388,0.10029018254,-0.0121405542011,0.0793650793651,0.0846560846561,-0.00529100529101
cluster10220,ENSCPOP00000006377,0.534115416223,0.624560801626,-0.0904453854035,0.390532544379,0.437869822485,-0.0473372781065
cluster10221,ENSCPOP00000010014,0.0402241523759,0.0370655182236,0.00315863415229,0.0291262135922,0.0194174757282,0.00970873786408
cluster10222,ENSCPOP00000005479,0.126317978081,0.152232445878,-0.0259144677963,0.121710526316,0.167763157895,-0.0460526315789
cluster10223,ENSCPOP00000002803,0.0824712268649,0.0775696659261,0.00490156093881,0.02079002079,0.024948024948,-0.004158004158
cluster10225,ENSCPOP00000007694,0.0574267265355,0.0634431167036,-0.00601639016809,0.0358422939068,0.0250896057348,0.010752688172
cluster10226,ENSCPOP00000006888,0.0576139948904,0.0615520552485,-0.00393806035816,0.0301507537688,0.00502512562814,0.0251256281407
cluster10227,ENSCPOP00000002398,0.106568145448,0.10019885982,0.0063692856274,0.0976744186047,0.093023255814,0.0046511627907
cluster10228,ENSCPOP00000015236,0.117916606711,0.102939611139,0.0149769955728,0.135135135135,0.097972972973,0.0371621621622
cluster10229,ENSCPOP00000010045,0.0595170374964,0.058138269576,0.00137876792034,0.0151187904968,0.0172786177106,-0.00215982721382
cluster10230,ENSCPOP00000003900,0.0613718129094,0.0653876543871,-0.00401584147764,0.0357894736842,0.0357894736842,0
cluster10231,ENSCPOP00000005116,0.103568278493,0.0617852456767,0.041783032816,0.0915492957746,0.0352112676056,0.056338028169
cluster10232,ENSCPOP00000017967,0.0777689621365,0.0687304597333,0.00903850240317,0.00840336134454,0.00840336134454,0
cluster10233,ENSCPOP00000002228,0.173070745204,0.18757219163,-0.0145014464259,0.218614718615,0.222943722944,-0.004329004329
cluster10234,ENSCPOP00000006371,0.0911864753782,0.0930626276308,-0.00187615225266,0.051724137931,0.0493730407524,0.00235109717868
cluster10235,ENSCPOP00000000158,0.0866107488342,0.069748062168,0.0168626866662,0.0801687763713,0.0379746835443,0.042194092827
cluster10236,ENSCPOP00000003774,0.124344340833,0.0585733673947,0.065770973438,0.075,0.00833333333333,0.0666666666667
cluster10237,ENSCPOP00000007712,0.0706482907067,0.0651364005976,0.00551189010918,0.00179211469534,0.00179211469534,0
cluster10238,ENSCPOP00000020510,0.120769371532,0.108719386039,0.0120499854927,0.136363636364,0.11038961039,0.025974025974
cluster10239,ENSCPOP00000007784,0.102553590966,0.0816565519414,0.0208970390243,0.0568181818182,0.0227272727273,0.0340909090909
cluster10240,ENSCPOP00000009657,0.0966353649547,0.0740683515007,0.022567013454,0.0973451327434,0.0796460176991,0.0176991150442
cluster10241,ENSCPOP00000002576,0.0961966074752,0.0997063224447,-0.00350971496951,0.073482428115,0.0862619808307,-0.0127795527157
cluster10242,ENSCPOP00000014920,0.106055362074,0.112305226978,-0.00624986490403,0.064610866373,0.0675477239354,-0.00293685756241
cluster10243,ENSCPOP00000019208,0.0751725290631,0.087987794552,-0.0128152654889,0.0281329923274,0.0460358056266,-0.0179028132992
cluster10245,ENSCPOP00000005940,0.0847380157367,0.0742134266981,0.0105245890386,0.108208955224,0.0597014925373,0.0485074626866
cluster10246,ENSCPOP00000001455,0.104365257923,0.109029717832,-0.00466445990909,0.10875331565,0.0875331564987,0.0212201591512
cluster10247,ENSCPOP00000020053,0.103510675646,0.132583617798,-0.0290729421525,0.12987012987,0.142857142857,-0.012987012987
cluster10249,ENSCPOP00000019468,0.19186374298,0.199854251887,-0.00799050890702,0.203389830508,0.203389830508,0
cluster10250,ENSCPOP00000009081,0.0931470840396,0.0961342815769,-0.00298719753724,0.0108932461874,0.0130718954248,-0.00217864923747
cluster10251,ENSCPOP00000003655,0.136178040298,0.134191559207,0.00198648109085,0.131578947368,0.131578947368,0
cluster10252,ENSCPOP00000021076,0.0997441714268,0.112321150267,-0.0125769788407,0.029702970297,0.019801980198,0.00990099009901
cluster10253,ENSCPOP00000017120,0.153481458189,0.152533356275,0.00094810191374,0.144927536232,0.176811594203,-0.031884057971
cluster10254,ENSCPOP00000019926,0.147059042055,0.118920397993,0.0281386440616,0.198529411765,0.161764705882,0.0367647058824
cluster10255,ENSCPOP00000000026,0.0748634953078,0.0788731173154,-0.00400962200763,0.0318021201413,0.0247349823322,0.00706713780919
cluster10257,ENSCPOP00000003236,0.176192774499,0.324072296732,-0.147879522233,0.238805970149,0.34328358209,-0.10447761194
cluster10258,ENSCPOP00000005495,0.214681760567,0.0631466900129,0.151535070555,0.179310344828,0.00689655172414,0.172413793103
cluster10259,ENSCPOP00000014610,0.238334853956,0.0820260182431,0.156308835713,0.256756756757,0.0945945945946,0.162162162162
cluster10260,ENSCPOP00000002184,0.211547982797,0,0.211547982797,0.25,0,0.25
cluster10262,ENSCPOP00000009458,0.0781299252548,0.0869266874872,-0.00879676223239,0.0422222222222,0.0377777777778,0.00444444444444
cluster10263,ENSCPOP00000001441,0.065177089994,0.0723766821038,-0.00719959210984,0.0426470588235,0.0426470588235,0
cluster10264,ENSCPOP00000001295,0.13591357024,0.119144046442,0.0167695237981,0.126050420168,0.117647058824,0.00840336134454
cluster10266,ENSCPOP00000010127,0.084028529821,0.0932797610081,-0.00925123118702,0.0609756097561,0.0569105691057,0.00406504065041
cluster10267,ENSCPOP00000008194,0.122437201961,0.129021253493,-0.00658405153198,0.109144542773,0.106194690265,0.00294985250737
cluster10268,ENSCPOP00000006609,0.0337210994543,0.0578527148209,-0.0241316153666,0.0234541577825,0.0575692963753,-0.0341151385928
cluster10269,ENSCPOP00000000353,0.0557672186359,0.0615867224841,-0.00581950384816,0.0188087774295,0.0156739811912,0.00313479623824
cluster10270,ENSCPOP00000001994,0.118219805322,0.154366133435,-0.0361463281123,0.131901840491,0.147239263804,-0.0153374233129
cluster10271,ENSCPOP00000017156,0.0450022420122,0.0632216366291,-0.0182193946168,0.00719424460432,0.0251798561151,-0.0179856115108
cluster10272,ENSCPOP00000009210,0.0873722638369,0.0980692775773,-0.0106970137404,0.0733590733591,0.0656370656371,0.00772200772201
cluster10273,ENSCPOP00000002305,0.0525932545902,0.0328036556989,0.0197895988913,0.0357142857143,0,0.0357142857143
cluster10274,ENSCPOP00000000927,0.0952232879698,0.0772269484044,0.0179963395654,0.104,0.072,0.032
cluster10276,ENSCPOP00000020107,0.123693554462,0.167740188511,-0.0440466340498,0.0634920634921,0.0793650793651,-0.015873015873
cluster10277,ENSCPOP00000015835,0.170659792289,0.151993489914,0.0186663023747,0.211453744493,0.202643171806,0.00881057268722
cluster10278,ENSCPOP00000019480,0.0985901112763,0.142899878075,-0.0443097667991,0.102310231023,0.138613861386,-0.036303630363
cluster10279,ENSCPOP00000008841,0.221953041092,0.271567042683,-0.0496140015916,0.301369863014,0.328767123288,-0.027397260274
cluster10280,ENSCPOP00000006143,0.138900526129,0.138809726045,9.08000839923e-05,0.151589242054,0.144254278729,0.00733496332518
cluster10281,ENSCPOP00000008157,0.0728015815694,0.0824895226525,-0.00968794108308,0.0480225988701,0.0423728813559,0.00564971751412
cluster10282,ENSCPOP00000015760,0.10474188744,0.112043010124,-0.00730112268383,0.0814479638009,0.10407239819,-0.0226244343891
cluster10283,ENSCPOP00000017651,0.161540418911,0.126842879032,0.034697539879,0.155555555556,0.137777777778,0.0177777777778
cluster10284,ENSCPOP00000007034,0.142101108707,0.138927287231,0.00317382147537,0.16077170418,0.154340836013,0.0064308681672
cluster10285,ENSCPOP00000000132,0.0736919093923,0.0796419407777,-0.00595003138541,0.0634920634921,0.0698412698413,-0.00634920634921
cluster10286,ENSCPOP00000000119,0.112868854027,0.107965603423,0.00490325060468,0.0723270440252,0.0723270440252,0
cluster10287,ENSCPOP00000003652,0.105231879929,0.119973870832,-0.0147419909034,0.124015748031,0.153543307087,-0.0295275590551
cluster10289,ENSCPOP00000006632,0.0639721961789,0.0942923526973,-0.0303201565184,0.0350877192982,0.0526315789474,-0.0175438596491
cluster10290,ENSCPOP00000009023,0.242810316801,0.100138516928,0.142671799873,0.216981132075,0.0566037735849,0.160377358491
cluster10291,ENSCPOP00000006292,0.145910151333,0.0861892943297,0.0597208570035,0.155844155844,0.116883116883,0.038961038961
cluster10292,ENSCPOP00000006478,0.0495290565133,0.0636169185839,-0.0140878620706,0.0425531914894,0.0522243713733,-0.00967117988395
cluster10293,ENSCPOP00000019061,0.0840437082896,0.0296589165705,0.0543847917191,0.0857142857143,0.0285714285714,0.0571428571429
cluster10294,ENSCPOP00000011975,0.0657265783095,0.0609796481095,0.00474693019992,0.0182648401826,0.0182648401826,0
cluster10295,ENSCPOP00000008443,0.104622912768,0.106184136683,-0.00156122391499,0.0816733067729,0.0756972111554,0.00597609561753
cluster10296,ENSCPOP00000019973,0.0963187439948,0.133088471372,-0.0367697273774,0.0821917808219,0.130136986301,-0.0479452054795
cluster10297,ENSCPOP00000003580,0.0627580109064,0.0521455291565,0.01061248175,0.0160427807487,0.00802139037433,0.00802139037433
cluster10298,ENSCPOP00000013972,0.216643180891,0.118561882941,0.0980812979493,0.213197969543,0.10152284264,0.111675126904
cluster10299,ENSCPOP00000008062,0.0995084046179,0.0701528168232,0.0293555877947,0.0868347338936,0.0448179271709,0.0420168067227
cluster10300,ENSCPOP00000005350,0.079368423052,0.0953065153883,-0.0159380923363,0.0576036866359,0.0599078341014,-0.00230414746544
cluster10301,ENSCPOP00000007838,0.107039772909,0.117851573339,-0.0108118004301,0.0663900414938,0.0746887966805,-0.00829875518672
cluster10302,ENSCPOP00000019193,0.109372371215,0.102514378582,0.00685799263305,0.112903225806,0.120967741935,-0.00806451612903
cluster10303,ENSCPOP00000019725,0.0837475880947,0.0931479742708,-0.00940038617609,0.0184696569921,0.0290237467018,-0.0105540897098
cluster10304,ENSCPOP00000020449,0.0993934770078,0.0810989594448,0.018294517563,0.0478087649402,0.0298804780876,0.0179282868526
cluster10305,ENSCPOP00000001565,0.119789602996,0.125389078735,-0.00559947573963,0.145228215768,0.132780082988,0.0124481327801
cluster10306,ENSCPOP00000003528,0.0776942951509,0.0780913363008,-0.000397041149885,0.0232558139535,0.0232558139535,0
cluster10307,ENSCPOP00000011766,0.0817120481433,0.0403603291791,0.0413517189642,0.0679012345679,0,0.0679012345679
cluster10308,ENSCPOP00000006817,0.117416493994,0.112366102749,0.00505039124521,0.11320754717,0.100145137881,0.0130624092888
cluster10309,ENSCPOP00000018735,0.0783846221227,0.109990199584,-0.0316055774608,0.036,0.0746666666667,-0.0386666666667
