ORTHOGROUPS,CAPYBARA ID,GUINEA PIG ID
OG0001729,s5_001275-RA,ENSCPOP00000007410
OG0001730,s5_001276-RA,ENSCPOP00000010407
OG0001731,s5_001279-RA,ENSCPOP00000005649
OG0001732,s5_001280-RA,ENSCPOP00000002393
OG0001733,s3_000001-RA,ENSCPOP00000020773
OG0001734,s3_000003-RA,ENSCPOP00000017541
OG0001735,s3_000004-RA,ENSCPOP00000012816
OG0001736,s3_000007-RA,ENSCPOP00000018905
OG0001737,s3_000009-RA,ENSCPOP00000004537
OG0001738,s3_000010-RA,ENSCPOP00000017408
OG0001739,s3_000016-RA,ENSCPOP00000016975
OG0001740,s3_000012-RA,ENSCPOP00000011054
OG0001741,s3_000013-RA,ENSCPOP00000011049
OG0001742,s3_000014-RA,ENSCPOP00000011047
OG0001743,s3_000015-RA,ENSCPOP00000011044
OG0001744,s3_000017-RA,ENSCPOP00000008944
OG0001745,s3_000018-RA,ENSCPOP00000014010
OG0001746,s3_000019-RA,ENSCPOP00000009987
OG0001747,s3_000020-RA,ENSCPOP00000011465
OG0001748,s3_000021-RA,ENSCPOP00000008650
OG0001749,s3_000022-RA,ENSCPOP00000018658
OG0001750,s3_000024-RA,ENSCPOP00000010274
OG0001751,s3_000025-RA,ENSCPOP00000018236
OG0001752,s3_000027-RA,ENSCPOP00000005229
OG0001753,s3_000028-RA,ENSCPOP00000005223
OG0001754,s3_000029-RA,ENSCPOP00000007641
OG0001755,s3_000030-RA,ENSCPOP00000012148
OG0001756,s3_000031-RA,ENSCPOP00000015626
OG0001757,s3_000032-RA,ENSCPOP00000012733
OG0001758,s3_000033-RA,ENSCPOP00000010877
OG0001759,s3_000034-RA,ENSCPOP00000019138
OG0001760,s3_000035-RA,ENSCPOP00000001279
OG0001761,s3_000036-RA,ENSCPOP00000010134
OG0001762,s3_000038-RA,ENSCPOP00000014930
OG0001763,s3_000041-RA,ENSCPOP00000011724
OG0001764,s3_000042-RA,ENSCPOP00000017426
OG0001765,s3_000045-RA,ENSCPOP00000007427
OG0001766,s3_000046-RA,ENSCPOP00000013852
OG0001767,s3_000047-RA,ENSCPOP00000007352
OG0001768,s3_000054-RA,ENSCPOP00000004945
OG0001769,s3_000056-RA,ENSCPOP00000000956
OG0001770,s3_000060-RA,ENSCPOP00000020209
OG0001771,s3_000061-RA,ENSCPOP00000009876
OG0001772,s3_000062-RA,ENSCPOP00000005047
OG0001773,s3_000063-RA,ENSCPOP00000010195
OG0001774,s3_000065-RA,ENSCPOP00000005896
OG0001775,s3_000069-RA,ENSCPOP00000011629
OG0001776,s3_000070-RA,ENSCPOP00000008960
OG0001777,s3_000072-RA,ENSCPOP00000001959
OG0001778,s3_000074-RA,ENSCPOP00000001957
OG0001779,s3_000077-RA,ENSCPOP00000013022
OG0001780,s3_000078-RA,ENSCPOP00000020081
OG0001781,s3_000079-RA,ENSCPOP00000017836
OG0001782,s3_000080-RA,ENSCPOP00000002638
OG0001783,s3_000081-RA,ENSCPOP00000002636
OG0001784,s3_000083-RA,ENSCPOP00000018953
OG0001785,s3_000084-RA,ENSCPOP00000002772
OG0001786,s3_000087-RA,ENSCPOP00000018774
OG0001787,s3_000088-RA,ENSCPOP00000005719
OG0001788,s3_000091-RA,ENSCPOP00000009265
OG0001789,s3_000092-RA,ENSCPOP00000003155
OG0001790,s3_000094-RA,ENSCPOP00000003151
OG0001791,s3_000095-RA,ENSCPOP00000010922
OG0001792,s3_000099-RA,ENSCPOP00000011168
OG0001793,s3_000101-RA,ENSCPOP00000009603
OG0001794,s3_000102-RA,ENSCPOP00000013905
OG0001795,s3_000104-RA,ENSCPOP00000012057
OG0001796,s3_000110-RA,ENSCPOP00000008374
OG0001797,s3_000111-RA,ENSCPOP00000010471
OG0001798,s3_000112-RA,ENSCPOP00000008720
OG0001799,s3_000113-RA,ENSCPOP00000005928
OG0001800,s3_000114-RA,ENSCPOP00000020007
OG0001801,s3_000115-RA,ENSCPOP00000007038
OG0001802,s6_000414-RA,ENSCPOP00000007026
OG0001803,s3_000118-RA,ENSCPOP00000012374
OG0001804,s3_000120-RA,ENSCPOP00000002439
OG0001805,s3_000122-RA,ENSCPOP00000015697
OG0001806,s3_000123-RA,ENSCPOP00000012240
OG0001807,s3_000125-RA,ENSCPOP00000000099
OG0001808,s3_000127-RA,ENSCPOP00000000546
OG0001809,s3_000128-RA,ENSCPOP00000004280
OG0001810,s3_000129-RA,ENSCPOP00000012336
OG0001811,s3_000131-RA,ENSCPOP00000012332
OG0001812,s3_000132-RA,ENSCPOP00000005780
OG0001813,s3_000134-RA,ENSCPOP00000008560
OG0001814,s3_000138-RA,ENSCPOP00000012976
OG0001815,s3_000141-RA,ENSCPOP00000008647
OG0001816,s3_000142-RA,ENSCPOP00000007138
OG0001817,s3_000143-RA,ENSCPOP00000001034
OG0001818,s3_000144-RA,ENSCPOP00000011583
OG0001819,s3_000145-RA,ENSCPOP00000015748
OG0001820,s3_000146-RA,ENSCPOP00000020459
OG0001821,s3_000148-RA,ENSCPOP00000019752
OG0001822,s3_000153-RA,ENSCPOP00000012355
OG0001823,s3_000154-RA,ENSCPOP00000012351
OG0001824,s3_000157-RA,ENSCPOP00000012678
OG0001825,s3_000158-RA,ENSCPOP00000015359
OG0001826,s3_000159-RA,ENSCPOP00000019726
OG0001827,s3_000160-RA,ENSCPOP00000010935
OG0001828,s3_000161-RA,ENSCPOP00000006483
OG0001829,s3_000164-RA,ENSCPOP00000018962
OG0001830,s3_000165-RA,ENSCPOP00000001045
OG0001831,s3_000167-RA,ENSCPOP00000004520
OG0001832,s3_000168-RA,ENSCPOP00000007667
OG0001833,s3_000172-RA,ENSCPOP00000008932
OG0001834,s3_000173-RA,ENSCPOP00000015025
OG0001835,s3_000174-RA,ENSCPOP00000009810
OG0001836,s3_000175-RA,ENSCPOP00000015962
OG0001837,s3_000177-RA,ENSCPOP00000010456
OG0001838,s3_000178-RA,ENSCPOP00000002606
OG0001839,s3_000181-RA,ENSCPOP00000002068
OG0001840,s3_000182-RA,ENSCPOP00000002064
OG0001841,s3_000185-RA,ENSCPOP00000008697
OG0001842,s10_002129-RA,ENSCPOP00000002954
OG0001843,s3_000184-RA,ENSCPOP00000013518
OG0001844,s3_000186-RA,ENSCPOP00000000688
OG0001845,s3_000187-RA,ENSCPOP00000016758
OG0001846,s3_000189-RA,ENSCPOP00000009824
