#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cd8a	Cd4	5026239	5017985	10090.ENSMUSP00000068123	10090.ENSMUSP00000024044	0	0	0	0	0.094	0.510	0.800	0.921	0.992
Mrpl55	Mrpl27	5032006	5018207	10090.ENSMUSP00000104413	10090.ENSMUSP00000025278	0	0	0	0	0.767	0.604	0.900	0	0.989
Smad6	Bmpr1a	5021309	5021237	10090.ENSMUSP00000036285	10090.ENSMUSP00000035900	0	0	0	0	0.062	0.589	0.900	0.731	0.988
Snrnp40	Cpsf3	5031494	5026242	10090.ENSMUSP00000101616	10090.ENSMUSP00000068148	0	0	0	0	0.159	0	0.900	0.485	0.952
Snrnp40	Polr2g	5031494	5029793	10090.ENSMUSP00000101616	10090.ENSMUSP00000093980	0	0	0	0	0.099	0	0.900	0.414	0.942
Rgs2	Gna14	5033807	5018301	10090.ENSMUSP00000115558	10090.ENSMUSP00000025602	0	0	0	0	0.062	0.222	0.900	0.168	0.931
Rln3	Pmch	5023855	5022680	10090.ENSMUSP00000051392	10090.ENSMUSP00000044352	0	0	0	0	0	0	0.900	0.340	0.931
Polr2g	Cpsf3	5029793	5026242	10090.ENSMUSP00000093980	10090.ENSMUSP00000068148	0	0	0	0	0.119	0	0.900	0.208	0.924
Pmch	Ppy	5022680	5016508	10090.ENSMUSP00000044352	10090.ENSMUSP00000017460	0	0	0	0	0	0	0.900	0.258	0.922
Ube2n	Cd40	5030333	5016531	10090.ENSMUSP00000096932	10090.ENSMUSP00000017799	0	0	0	0	0	0.882	0	0.370	0.922
Galr1	Pmch	5026041	5022680	10090.ENSMUSP00000066381	10090.ENSMUSP00000044352	0	0	0	0	0	0.058	0.900	0.203	0.918
Qrfpr	Pmch	5029080	5022680	10090.ENSMUSP00000088768	10090.ENSMUSP00000044352	0	0	0	0	0	0	0.900	0.220	0.918
Cacng3	Cacng2	5028325	5016697	10090.ENSMUSP00000081664	10090.ENSMUSP00000019290	0	0	0	0.975	0.180	0	0.900	0.700	0.915
Galr1	Ppy	5026041	5016508	10090.ENSMUSP00000066381	10090.ENSMUSP00000017460	0	0	0	0	0	0.058	0.900	0.165	0.914
Rps2	Rrp9	5029538	5021708	10090.ENSMUSP00000092502	10090.ENSMUSP00000038580	0	0	0	0	0.163	0	0.900	0.053	0.913
Qrfpr	Gna14	5029080	5018301	10090.ENSMUSP00000088768	10090.ENSMUSP00000025602	0	0	0	0	0	0	0.900	0.120	0.908
Cpsf3	Prcc	5026242	5015801	10090.ENSMUSP00000068148	10090.ENSMUSP00000005015	0	0	0	0	0.123	0	0.900	0	0.908
Polr2g	Hmgn1	5029793	5025339	10090.ENSMUSP00000093980	10090.ENSMUSP00000061012	0	0	0	0	0.062	0	0.900	0.087	0.906
Pik3r2	Gna14	5020808	5018301	10090.ENSMUSP00000034296	10090.ENSMUSP00000025602	0	0	0	0	0	0.093	0.900	0	0.905
Spop	Dzip1	5031791	5021908	10090.ENSMUSP00000103350	10090.ENSMUSP00000039689	0	0	0	0	0	0	0.900	0.082	0.904
Rln3	Ppy	5023855	5016508	10090.ENSMUSP00000051392	10090.ENSMUSP00000017460	0	0	0	0	0	0	0.900	0.085	0.904
Polr2g	Prcc	5029793	5015801	10090.ENSMUSP00000093980	10090.ENSMUSP00000005015	0	0	0	0	0.062	0	0.900	0	0.902
Polr2g	Tia1	5029793	5029689	10090.ENSMUSP00000093980	10090.ENSMUSP00000093425	0	0	0	0	0.061	0	0.900	0.048	0.902
Snrnp40	Prcc	5031494	5015801	10090.ENSMUSP00000101616	10090.ENSMUSP00000005015	0	0	0	0	0.062	0	0.900	0	0.902
Apoa1	Matn3	5020911	5017031	10090.ENSMUSP00000034588	10090.ENSMUSP00000020899	0	0	0	0	0.062	0	0.900	0	0.902
Pik3r2	Fgf22	5020808	5016961	10090.ENSMUSP00000034296	10090.ENSMUSP00000020577	0	0	0	0	0	0	0.900	0.059	0.901
