#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Cd8a	Cd4	2105019	2096007	10090.ENSMUSP00000068123	10090.ENSMUSP00000024044	0	0	0	0	0.086	0.469	0.800	0.962	0.995
Ctss	Bcl2	2112192	2111690	10090.ENSMUSP00000112006	10090.ENSMUSP00000108371	0	0	0	0	0	0	0.800	0.468	0.889
Prkci	Pik3r2	2111066	2099064	10090.ENSMUSP00000103884	10090.ENSMUSP00000034296	0	0	0	0	0	0	0.866	0.112	0.876
Parp2	Gzmb	2101945	2094285	10090.ENSMUSP00000048877	10090.ENSMUSP00000015581	0	0	0	0	0.042	0.104	0.800	0.070	0.818
Bcl2	Hsp90aa1	2111690	2095266	10090.ENSMUSP00000108371	10090.ENSMUSP00000021698	0	0	0	0	0	0.111	0	0.801	0.817
Lep	Ins1	2104894	2101980	10090.ENSMUSP00000067046	10090.ENSMUSP00000049095	0	0	0	0	0	0	0	0.772	0.772
Ctss	Hsp90aa1	2112192	2095266	10090.ENSMUSP00000112006	10090.ENSMUSP00000021698	0	0	0	0	0.053	0.068	0	0.631	0.646
Igf2	Ins1	2112474	2101980	10090.ENSMUSP00000114076	10090.ENSMUSP00000049095	0	0	0	0	0	0	0	0.616	0.616
Cd24a	Cd69	2103486	2098429	10090.ENSMUSP00000057983	10090.ENSMUSP00000032259	0	0	0	0	0	0	0	0.603	0.603
Bcl2	Ins1	2111690	2101980	10090.ENSMUSP00000108371	10090.ENSMUSP00000049095	0	0	0	0	0	0	0	0.577	0.577
Il12a	Gzmb	2097477	2094285	10090.ENSMUSP00000029345	10090.ENSMUSP00000015581	0	0	0	0	0	0	0.528	0.073	0.544
Lep	Apoa1	2104894	2099179	10090.ENSMUSP00000067046	10090.ENSMUSP00000034588	0	0	0	0	0	0	0	0.542	0.542
Bcl2	Cd69	2111690	2098429	10090.ENSMUSP00000108371	10090.ENSMUSP00000032259	0	0	0	0	0.052	0	0	0.535	0.540
Cd69	Cd4	2098429	2096007	10090.ENSMUSP00000032259	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.538	0.538
Igf2	Lep	2112474	2104894	10090.ENSMUSP00000114076	10090.ENSMUSP00000067046	0	0	0	0	0	0	0	0.514	0.514
Igf2	Plagl2	2112474	2103111	10090.ENSMUSP00000114076	10090.ENSMUSP00000055709	0	0	0	0	0	0	0	0.498	0.498
Bcl2	Ube2n	2111690	2109578	10090.ENSMUSP00000108371	10090.ENSMUSP00000096932	0	0	0	0	0.044	0.062	0	0.484	0.497
Igf2	Cd24a	2112474	2103486	10090.ENSMUSP00000114076	10090.ENSMUSP00000057983	0	0	0	0	0	0	0	0.495	0.495
Igf2	Bcl2	2112474	2111690	10090.ENSMUSP00000114076	10090.ENSMUSP00000108371	0	0	0	0	0	0	0	0.484	0.484
Prkci	Ins1	2111066	2101980	10090.ENSMUSP00000103884	10090.ENSMUSP00000049095	0	0	0	0	0	0	0.440	0.117	0.484
Lep	Cd69	2104894	2098429	10090.ENSMUSP00000067046	10090.ENSMUSP00000032259	0	0	0	0	0	0	0	0.481	0.481
Lep	Socs4	2104894	2104742	10090.ENSMUSP00000067046	10090.ENSMUSP00000066031	0	0	0	0	0	0	0.293	0.283	0.471
Bcl2	Lep	2111690	2104894	10090.ENSMUSP00000108371	10090.ENSMUSP00000067046	0	0	0	0	0	0	0	0.461	0.461
Parp2	Hes1	2101945	2095753	10090.ENSMUSP00000048877	10090.ENSMUSP00000023171	0	0	0	0	0	0.115	0.404	0.056	0.459
Ube2n	Hsp90aa1	2109578	2095266	10090.ENSMUSP00000096932	10090.ENSMUSP00000021698	0	0	0	0	0.100	0.107	0.173	0.276	0.455
Bcl2	Cd24a	2111690	2103486	10090.ENSMUSP00000108371	10090.ENSMUSP00000057983	0	0	0	0	0	0	0	0.450	0.450
Cd8a	Cd69	2105019	2098429	10090.ENSMUSP00000068123	10090.ENSMUSP00000032259	0	0	0	0	0.123	0	0	0.387	0.439
Xcl1	Cxcl13	2097027	2095969	10090.ENSMUSP00000027860	10090.ENSMUSP00000023840	0	0	0	0	0.101	0	0	0.401	0.438
Cd69	Gzmb	2098429	2094285	10090.ENSMUSP00000032259	10090.ENSMUSP00000015581	0	0	0	0	0.087	0.114	0	0.348	0.427
Cd69	Xcl1	2098429	2097027	10090.ENSMUSP00000032259	10090.ENSMUSP00000027860	0	0	0	0	0.262	0	0	0.246	0.420
Ins1	Pik3r2	2101980	2099064	10090.ENSMUSP00000049095	10090.ENSMUSP00000034296	0	0	0	0	0	0	0.393	0.060	0.405
Ins1	Rfx6	2101980	2101123
