Cavpor_AccNumber	Hhyd_Code	Marmota	Squirrel	Castor	KangRat	Jerboa	BMRat	DeerMouse	Hamster	Vole	Rat 	Mouse	GuineaPig	Capybara	Degu	Chinchilla	NMRat
XM_003468730	s5_000104312	0.023805	0.001676	0.037137	0.037780	0.027384	0.051603	0.005944	0.029231	0.029951	0.015188	0.006668	0.026708	0.008175	0.028194	0.013791	0.019516
XM_003466227	s5_000318586	0.012830	0.002415	0.042683	0.062936	0.083541	0.055318	0.026701	0.030430	0.035482	0.036538	0.021240	0.030659	0.031453	0.049815	0.019233	0.029098
XM_003466237	s5_000339789	0.000003	0.000940	0.018462	0.014291	0.011099	0.007739	0.003584	0.001527	0.004387	0.006283	0.006917	0.006647	0.010458	0.009886	0.010487	0.012862
XM_003466290	s5_000429303	0.000001	0.000001	0.001843	0.003095	0.008353	0.003544	0.000018	0.001636	0.000013	0.006741	0.003339	0.003331	0.000004	0.000012	0.006612	0.000006
XM_003480112	s5_000506153	0.000002	0.000000	0.000018	0.000016	0.002797	0.000015	0.000026	0.000023	0.000021	0.000010	0.000006	0.000003	0.002907	0.000027	0.000017	0.000007
XM_003472925	s5_000572608	0.005786	0.003161	0.041511	0.044773	0.071440	0.020229	0.014862	0.011931	0.020617	0.014230	0.014820	0.012440	0.014088	0.022363	0.023047	0.055490
XM_003463820	s5_000861457	0.004746	0.008316	0.014318	0.030808	0.048855	0.044083	0.022933	0.017488	0.031820	0.031218	0.022605	0.004346	0.012990	0.021908	0.012186	0.029377
XM_003467554	s5_000932473	0.007925	0.005568	0.024945	0.040146	0.055643	0.028497	0.013654	0.028939	0.029005	0.020404	0.016838	0.016109	0.007958	0.028959	0.006336	0.035294
XM_003471013	s5_000951325	0.010407	0.001749	0.027013	0.047669	0.038418	0.029148	0.020984	0.013317	0.022130	0.005013	0.025998	0.008534	0.010375	0.016300	0.014442	0.012420
XM_003464577	s5_001060381	0.002082	0.001036	0.004142	0.004132	0.003143	0.003083	0.000945	0.003042	0.001156	0.002133	0.000008	0.000015	0.003131	0.001581	0.005571	0.005805
XM_003466536	s10_000975325	0.001446	0.004588	0.035283	0.031760	0.025277	0.024804	0.000011	0.009414	0.010864	0.002239	0.010729	0.012850	0.019535	0.028789	0.017119	0.020201
XM_003464682	s5_001085589	0.000003	0.000000	0.001073	0.007139	0.005449	0.002238	0.004986	0.004618	0.002988	0.000005	0.001148	0.003305	0.000006	0.001097	0.002135	0.000011
XM_003465082	s5_001186263	0.000001	0.003028	0.018064	0.027760	0.011355	0.018808	0.024735	0.005342	0.012476	0.018683	0.006035	0.002909	0.008750	0.000016	0.000006	0.005758
XM_003465166	s5_001217541	0.001672	0.000817	0.008294	0.013736	0.021442	0.013474	0.004892	0.005899	0.012202	0.003590	0.005422	0.004483	0.006211	0.011329	0.007388	0.017555
XM_003473914	s6_000047136	0.000000	0.000002	0.000019	0.053766	0.034176	0.005382	0.000008	0.016699	0.005649	0.016217	0.005340	0.016032	0.032366	0.005095	0.010400	0.010674
