Cavpor_AccNumber	Hhyd_Code	Marmota	Squirrel	Castor	KangRat	Jerboa	BMRat	DeerMouse	Hamster	Vole	Rat 	Mouse	GuineaPig	Capybara	Degu	Chinchilla	NMRat
XM_003468730	s5_000104312	0.014704	0.050357	0.124741	0.357191	0.238063	0.271036	0.079117	0.080473	0.157068	0.062375	0.030774	0.039387	0.038094	0.109768	0.055172	0.068682
XM_003466227	s5_000318586	0.019653	0.013016	0.227547	0.546806	0.229516	0.183319	0.151359	0.114781	0.088493	0.069698	0.102192	0.081737	0.079081	0.157259	0.081112	0.093260
XM_003466237	s5_000339789	0.026417	0.061135	0.274343	0.285458	0.415585	0.212674	0.190965	0.127306	0.161058	0.161228	0.128842	0.130659	0.113551	0.149085	0.082486	0.155277
XM_003466290	s5_000429303	0.013158	0.012432	0.091821	0.128435	0.176823	0.167033	0.181569	0.070071	0.125584	0.125585	0.071424	0.049937	0.044202	0.116979	0.066068	0.062838
XM_003480112	s5_000506153	0.017179	0.002416	0.177709	0.156724	0.219651	0.151387	0.257219	0.230983	0.205439	0.104429	0.060023	0.025112	0.137944	0.269269	0.167087	0.074682
XM_003472925	s5_000572608	0.019115	0.038303	0.130794	0.195313	0.310602	0.177034	0.120389	0.101041	0.146994	0.140718	0.131851	0.061139	0.068509	0.148457	0.123103	0.085002
XM_003463820	s5_000861457	0.040277	0.046123	0.184317	0.251062	0.267499	0.184361	0.121289	0.147202	0.168547	0.115101	0.095676	0.074792	0.082660	0.153700	0.092944	0.094185
XM_003467554	s5_000932473	0.021238	0.012158	0.113328	0.340104	0.540342	0.160943	0.146281	0.154747	0.110313	0.100772	0.112183	0.044093	0.068794	0.116186	0.056233	0.089323
XM_003471013	s5_000951325	0.017338	0.008001	0.153147	0.294944	0.170030	0.125079	0.069728	0.075869	0.114062	0.065346	0.039811	0.072234	0.066605	0.088303	0.103292	0.113835
XM_003464577	s5_001060381	0.036403	0.031506	0.276185	0.515900	0.343750	0.423102	0.216746	0.223700	0.179291	0.155093	0.078760	0.154288	0.186559	0.374127	0.177090	0.277690
