gene_fam;fisherPvalues_Capybara;fisherPvalues_Capybara_Bonferroni;protein_family_name;Gene_name
PTHR11738:SF123;1,05E+01;1,56E+05;LEUKOCYTE IMMUNOGLOBULIN-LIKE RECEPTOR SUBFAMILY A MEMBER 5;LIRA5
PTHR23087:SF18;4,16E+02;6,17E+06;NON-HISTONE CHROMOSOMAL PROTEIN HMG-14;HMGN1
PTHR33166;3,30E+08;0.0488588817874929;FAMILY NOT NAMED;
PTHR26452:SF490;5,54E+01;8,21E+06;OLFACTORY RECEPTOR 8K3;OR8K3
PTHR22812:SF123;1,79E+06;0.000265565223135305;CHROMOBOX PROTEIN HOMOLOG 3;CBX3
PTHR24379;2,48E+06;0.00036781822077205;FAMILY NOT NAMED;
PTHR11711:SF249;4,55E+06;0.000674775540276237;ADP-RIBOSYLATION FACTOR-LIKE PROTEIN 5A;ARL5A
PTHR20981:SF12;4,28E+01;6,34E+03;SUBFAMILY NOT NAMED;
PTHR11528:SF63;1,15E+07;0.00169983243982171;HEAT SHOCK PROTEIN HSP 90-ALPHA-RELATED;HSP90AA1
PTHR24356:SF266;7,11E+05;0.000105361085763648;PROTEIN KINASE C IOTA TYPE;PRKCI
PTHR26453:SF434;2,33E+08;0.0344817421293662;(OLFACTORY RECEPTOR);OR
PTHR10681:SF134;1,29E+06;0.000191866374915853;PEROXIREDOXIN-1;PRDX1
PTHR24247:SF148;1,38E+08;0.0204950919856946;OLFACTORY RECEPTOR 5T2;OR5T2
PTHR26452:SF646;1,99E-03;2,94E+00;OLFACTORY RECEPTOR 8H1;OR8H1
PTHR26452:SF513;8,19E+05;0.00121486334437007;OLFACTORY RECEPTOR 8J2;OR8J2
PTHR21502:SF10;1,49E+07;0.00220904161475398;ZINC FINGER PROTEIN DZIP1;DZIP1
PTHR24413:SF148;4,13E-11;6,12E-07;SPECKLE-TYPE POZ PROTEIN;SPOP
PTHR26451:SF766;3,60E+02;5,33E+06;OLFACTORY RECEPTOR;OR
PTHR26451:SF559;3,18E+08;0.0470726092886192;(OLFACTORY RECEPTOR);OR
PTHR24271:SF38;1,80E-01;2,67E+04;GRANZYME B;GZMB
PTHR11431:SF66;1,43E+07;0.00211715544142412;FERRITIN LIGHT CHAIN;FTL
PTHR24300:SF204;3,86E+05;5,73E+09;CYTOCHROME P450 2D26-RELATED;CYP450
PTHR11991:SF6;3,37E+06;0.00049984024469784;TPT1-LIKE PROTEIN-RELATED;TPT1
PTHR10489:SF755;7,51E+02;1,11E+07;HEMICENTIN-2;HMCN2
PTHR11736:SF103;2,62E-02;3,89E+02;MELANOMA-ASSOCIATED ANTIGEN B5;MAGEB5
PTHR26452:SF640;2,90E+07;0.00430510096797211;OLFACTORY RECEPTOR 8K5;OR8K5
PTHR26453:SF555;6,22E+02;9,23E+06;OLFACTORY RECEPTOR 2T33-RELATED;OR2T33
PTHR13072:SF1;4,48E+07;0.00664886292701853;DYNACTIN SUBUNIT 6;DCTN6
PTHR10155:SF7;1,50E+04;2,22E+09;PHOSPHATIDYLINOSITOL 3-KINASE REGULATORY SUBUNIT BETA;PIK3R2
PTHR26451:SF754;9,33E+05;0.000138346743165156;OLFACTORY RECEPTOR 7A17;OR7A17
PTHR24306:SF7;1,42E+05;2,10E+09;7-ALPHA-HYDROXYCHOLEST-4-EN-3-ONE 12-ALPHA-HYDROXYLASE;CYP8B1
PTHR11593:SF14;5,70E+07;0.00844967808708373;SUBFAMILY NOT NAMED;
PTHR11430:SF101;2,11E+07;0.00313445129315805;NEUTROPHIL GELATINASE-ASSOCIATED LIPOCALIN;NGAL
PTHR26451:SF539;5,55E+00;8,23E+04;OLFACTORY RECEPTOR 3A4-RELATED;OR3A4
PTHR19860:SF31;4,48E+07;0.00664886292701853;DDB1- AND CUL4-ASSOCIATED FACTOR 12-LIKE PROTEIN 2;DCAF12L1
PTHR24249:SF367;5,94E+06;0.000880483971147853;TRACE AMINE-ASSOCIATED RECEPTOR 7A-RELATED;TAAR1
PTHR26452:SF455;4,22E+05;6,25E+09;OLFACTORY RECEPTOR 5D18;OR5D18
PTHR11937:SF349;3,28E+06;0.00486438387587535;ACTIN-RELATED PROTEIN T1;ACTRT1
PTHR11337:SF19;8,67E+04;1,29E+09;PORIMIN;TMEM123
PTHR13718:SF78;4,76E+04;7,05E+08;40S RIBOSOMAL PROTEIN S2;RPS2
