Cavpor_AccNumber	Hhyd_Code	Marmota	Squirrel	Castor	KangRat	Jerboa	BMRat	DeerMouse	Hamster	Vole	Rat 	Mouse	GuineaPig	Capybara	Degu	Chinchilla	NMRat
XM_003468730	s5_000104312	1.6189	0.0333	0.2977	0.1058	0.1150	0.1904	0.0751	0.3632	0.1907	0.2435	0.2167	0.6781	0.2146	0.2569	0.2500	0.2841
XM_003466227	s5_000318586	0.6528	0.1855	0.1876	0.1151	0.3640	0.3018	0.1764	0.2651	0.4010	0.5242	0.2078	0.3751	0.3977	0.3168	0.2371	0.3120
XM_003466237	s5_000339789	0.0001	0.0154	0.0673	0.0501	0.0267	0.0364	0.0188	0.0120	0.0272	0.0390	0.0537	0.0509	0.0921	0.0663	0.1271	0.0828
XM_003466290	s5_000429303	0.0001	0.0001	0.0201	0.0241	0.0472	0.0212	0.0001	0.0233	0.0001	0.0537	0.0467	0.0667	0.0001	0.0001	0.1001	0.0001
XM_003480112	s5_000506153	0.0001	0.0001	0.0001	0.0001	0.0127	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0211	0.0001	0.0001	0.0001
XM_003472925	s5_000572608	0.3027	0.0825	0.3174	0.2292	0.2300	0.1143	0.1234	0.1181	0.1403	0.1011	0.1124	0.2035	0.2056	0.1506	0.1872	0.6528
XM_003463820	s5_000861457	0.1178	0.1803	0.0777	0.1227	0.1826	0.2391	0.1891	0.1188	0.1888	0.2712	0.2363	0.0581	0.1571	0.1425	0.1311	0.3119
XM_003467554	s5_000932473	0.3731	0.4580	0.2201	0.1180	0.1030	0.1771	0.0933	0.1870	0.2629	0.2025	0.1501	0.3653	0.1157	0.2492	0.1127	0.3951
XM_003471013	s5_000951325	0.6002	0.2186	0.1764	0.1616	0.2260	0.2330	0.3009	0.1755	0.1940	0.0767	0.6530	0.1181	0.1558	0.1846	0.1398	0.1091
XM_003464577	s5_001060381	0.0572	0.0329	0.0150	0.0080	0.0091	0.0073	0.0044	0.0136	0.0064	0.0137	0.0001	0.0001	0.0168	0.0042	0.0315	0.0209
