Cluster,Capybara_ID,ensmbl_CporID,gene_name,LR_codeml,Pval_codeml,LR_aBSREL,Pval_aBSREL
cluster10147,s5_000058-RA,ENSCPOP00000004124,NR1D2,0,1,0,1
cluster10148,s10_001008-RA,ENSCPOP00000001485,FCRL2,0.498479999999,0.480168759419,0,1
cluster10149,s1_001968-RA,ENSCPOP00000011691,SCARB2,95.912104,1.20098868905e-22,87.9568300970968,0
cluster10150,s1_000228-RA,ENSCPOP00000001939,ISG20,6.282612,0.0121928258797,6.24438053362928,0.0157099264460742
cluster10151,s2_000992-RA,ENSCPOP00000002490,TRAPPC2L,38.943104,4.36338927668e-10,47.0726926623961,1.93740024023725e-11
cluster10152,s1_001206-RA,ENSCPOP00000001195,C14orf166,0,1,0,1
cluster10153,s2_000657-RA,ENSCPOP00000002207,PSMC1,0,1,0,1
cluster10154,s4_001305-RA,ENSCPOP00000002132,Mip,3.189398,0.0741173013148,0,1
cluster10155,s3_001429-RA,ENSCPOP00000006239,SYT10,80.352936,3.13166037034e-19,68.1325086913466,4.9960036108132e-16
cluster10156,s9_000985-RA,ENSCPOP00000011549,FAM20C,0,1,0,1
cluster10157,s3_002193-RA,ENSCPOP00000008793,FAM166A,49.5345,1.94913744693e-12,46.0588784311881,3.21875304187813e-11
cluster10158,s1_000127-RA,ENSCPOP00000000051,LCMT2,58.395068,2.14427881644e-14,52.2734219377544,1.43340894709354e-12
cluster10159,s10_001513-RA,ENSCPOP00000013032,BPIFC,27.153462,1.87928366322e-07,15.4106577396169,0.000152425975357307
cluster10161,s3_000142-RA,ENSCPOP00000007138,CA2,77.751912,1.16830127784e-18,75.9056540702695,0
cluster10162,s4_001451-RA,ENSCPOP00000020392,OR51E1,0,1,0,1
cluster10164,s5_000661-RA,ENSCPOP00000007710,0,1.637528,0.200664974039,0.00916373844142981,0.483375996451506
cluster10166,s3_000080-RA,ENSCPOP00000002638,NIPAL2,0,1,0,1
cluster10167,s5_000433-RA,ENSCPOP00000005434,SPAG7,0,1,0,1
cluster10168,s2_000194-RA,ENSCPOP00000002101,NDUFB5,0,1,3.17013052031052,0.0764796161340262
